          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9802e+00	  1.9906e-02	  5.8887e-04	  2.1355e-03	  2.4860e-03	  7.9307e-05	  2.3204e-02	  1.2507e-03	  4.2607e-04	  3.8532e-05	  6.3504e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9676e+00	  2.0174e-02	  5.9632e-04	  2.1951e-03	  2.5551e-03	  7.8756e-05	  2.3650e-02	  1.3064e-03	  4.3112e-04	  6.9628e-05	  6.4671e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9555e+00	  2.0431e-02	  6.0344e-04	  2.2529e-03	  2.6221e-03	  7.8246e-05	  2.4078e-02	  1.3596e-03	  4.3593e-04	  9.9326e-05	  6.5790e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9439e+00	  2.0677e-02	  6.1025e-04	  2.3088e-03	  2.6869e-03	  7.7774e-05	  2.4491e-02	  1.4103e-03	  4.4053e-04	  1.2771e-04	  6.6865e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9327e+00	  2.0913e-02	  6.1677e-04	  2.3629e-03	  2.7496e-03	  7.7335e-05	  2.4889e-02	  1.4588e-03	  4.4491e-04	  1.5486e-04	  6.7896e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9220e+00	  2.1139e-02	  6.2301e-04	  2.4153e-03	  2.8103e-03	  7.6926e-05	  2.5272e-02	  1.5051e-03	  4.4911e-04	  1.8084e-04	  6.8886e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9118e+00	  2.1356e-02	  6.2899e-04	  2.4660e-03	  2.8690e-03	  7.6545e-05	  2.5641e-02	  1.5494e-03	  4.5311e-04	  2.0573e-04	  6.9838e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9019e+00	  2.1565e-02	  6.3472e-04	  2.5151e-03	  2.9258e-03	  7.6188e-05	  2.5996e-02	  1.5919e-03	  4.5695e-04	  2.2957e-04	  7.0752e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8924e+00	  2.1765e-02	  6.4021e-04	  2.5626e-03	  2.9807e-03	  7.5855e-05	  2.6339e-02	  1.6325e-03	  4.6062e-04	  2.5243e-04	  7.1631e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
