          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.0421e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.1311e+03	
  7.0421e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.1311e+03	
  7.1253e+00	  4.8636e-03	  6.4114e-04	  3.5228e-03	  8.3265e-04	  2.7237e-05	  3.9469e-03	  5.1286e-04	  1.9108e-04	  2.4924e-03	  1.9834e+03	
  7.2026e+00	  5.7263e-03	  7.6200e-04	  3.3584e-03	  8.9292e-04	  1.9295e-05	  4.8174e-03	  6.7691e-04	  1.2756e-04	  3.3190e-03	  2.2698e+03	
  7.2765e+00	  6.1582e-03	  8.2255e-04	  3.2581e-03	  9.6063e-04	  1.5190e-05	  5.2525e-03	  7.5889e-04	  9.5734e-05	  3.7320e-03	  2.4176e+03	
  7.3497e+00	  6.4175e-03	  8.5892e-04	  3.1829e-03	  1.0291e-03	  1.2658e-05	  5.5134e-03	  8.0806e-04	  7.6620e-05	  3.9798e-03	  2.5090e+03	
  7.4228e+00	  6.5904e-03	  8.8319e-04	  3.1203e-03	  1.0962e-03	  1.0923e-05	  5.6874e-03	  8.4083e-04	  6.3868e-05	  4.1450e-03	  2.5716e+03	
  7.4963e+00	  6.7140e-03	  9.0053e-04	  3.0648e-03	  1.1611e-03	  9.6438e-06	  5.8116e-03	  8.6424e-04	  5.4755e-05	  4.2629e-03	  2.6175e+03	
  7.5702e+00	  6.8067e-03	  9.1353e-04	  3.0140e-03	  1.2235e-03	  8.6505e-06	  5.9048e-03	  8.8180e-04	  4.7918e-05	  4.3514e-03	  2.6526e+03	
  7.6448e+00	  6.8788e-03	  9.2365e-04	  2.9664e-03	  1.2833e-03	  7.8488e-06	  5.9772e-03	  8.9545e-04	  4.2599e-05	  4.4202e-03	  2.6803e+03	
  7.7201e+00	  6.9364e-03	  9.3175e-04	  2.9215e-03	  1.3406e-03	  7.1832e-06	  6.0352e-03	  9.0637e-04	  3.8342e-05	  4.4752e-03	  2.7027e+03	
  7.7962e+00	  6.9836e-03	  9.3838e-04	  2.8789e-03	  1.3955e-03	  6.6195e-06	  6.0826e-03	  9.1531e-04	  3.4859e-05	  4.5203e-03	  2.7211e+03	
  7.8732e+00	  7.0230e-03	  9.4390e-04	  2.8383e-03	  1.4481e-03	  6.1357e-06	  6.1221e-03	  9.2276e-04	  3.1957e-05	  4.5578e-03	  2.7365e+03	
  7.9511e+00	  7.0563e-03	  9.4857e-04	  2.7998e-03	  1.4985e-03	  5.7168e-06	  6.1556e-03	  9.2906e-04	  2.9500e-05	  4.5895e-03	  2.7495e+03	
  8.0300e+00	  7.0848e-03	  9.5258e-04	  2.7633e-03	  1.5470e-03	  5.3526e-06	  6.1842e-03	  9.3446e-04	  2.7394e-05	  4.6167e-03	  2.7605e+03	
  8.1097e+00	  7.1095e-03	  9.5605e-04	  2.7288e-03	  1.5938e-03	  5.0352e-06	  6.2091e-03	  9.3914e-04	  2.5569e-05	  4.6403e-03	  2.7700e+03	
