          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.3584e+00	  9.7150e-03	  7.4759e-04	  1.4799e-03	  1.8253e-03	  4.3380e-05	  8.7391e-03	  6.9291e-04	  1.7295e-04	  2.4906e-03	  2.7557e+03	
  7.4600e+00	  8.9630e-03	  8.3305e-04	  1.4626e-03	  1.8632e-03	  3.0119e-05	  7.4820e-03	  7.9689e-04	  1.1547e-04	  3.3178e-03	  2.6959e+03	
  7.5646e+00	  8.5867e-03	  8.7587e-04	  1.4499e-03	  1.9040e-03	  2.3325e-05	  6.8537e-03	  8.4886e-04	  8.6669e-05	  3.7311e-03	  2.6698e+03	
  7.6721e+00	  8.3607e-03	  9.0160e-04	  1.4382e-03	  1.9437e-03	  1.9142e-05	  6.4769e-03	  8.8003e-04	  6.9367e-05	  3.9791e-03	  2.6563e+03	
  7.7826e+00	  8.2100e-03	  9.1876e-04	  1.4266e-03	  1.9812e-03	  1.6274e-05	  6.2257e-03	  9.0081e-04	  5.7823e-05	  4.1444e-03	  2.6485e+03	
  7.8960e+00	  8.1024e-03	  9.3102e-04	  1.4151e-03	  2.0165e-03	  1.4167e-05	  6.0464e-03	  9.1565e-04	  4.9574e-05	  4.2624e-03	  2.6437e+03	
  8.0126e+00	  8.0216e-03	  9.4022e-04	  1.4040e-03	  2.0499e-03	  1.2548e-05	  5.9118e-03	  9.2677e-04	  4.3384e-05	  4.3510e-03	  2.6404e+03	
  8.1326e+00	  7.9588e-03	  9.4738e-04	  1.3937e-03	  2.0820e-03	  1.1268e-05	  5.8072e-03	  9.3543e-04	  3.8569e-05	  4.4198e-03	  2.6381e+03	
  8.2557e+00	  7.9085e-03	  9.5311e-04	  1.3848e-03	  2.1135e-03	  1.0239e-05	  5.7235e-03	  9.4235e-04	  3.4716e-05	  4.4749e-03	  2.6364e+03	
  8.3816e+00	  7.8674e-03	  9.5779e-04	  1.3779e-03	  2.1450e-03	  9.4054e-06	  5.6550e-03	  9.4802e-04	  3.1563e-05	  4.5199e-03	  2.6351e+03	
  8.5089e+00	  7.8331e-03	  9.6170e-04	  1.3738e-03	  2.1776e-03	  8.7299e-06	  5.5980e-03	  9.5274e-04	  2.8935e-05	  4.5575e-03	  2.6343e+03	
  8.6353e+00	  7.8041e-03	  9.6500e-04	  1.3731e-03	  2.2122e-03	  8.1838e-06	  5.5497e-03	  9.5673e-04	  2.6711e-05	  4.5893e-03	  2.6338e+03	
  8.7580e+00	  7.7792e-03	  9.6783e-04	  1.3761e-03	  2.2492e-03	  7.7419e-06	  5.5083e-03	  9.6015e-04	  2.4804e-05	  4.6165e-03	  2.6338e+03	
  8.8741e+00	  7.7576e-03	  9.7029e-04	  1.3829e-03	  2.2891e-03	  7.3796e-06	  5.4724e-03	  9.6312e-04	  2.3152e-05	  4.6401e-03	  2.6342e+03	
