          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.3667e+00	  1.1642e-02	  4.8727e-04	  1.4483e-03	  1.7364e-03	  7.3275e-05	  1.1686e-02	  4.8748e-04	  3.3352e-04	  6.0456e-04	  2.9190e+03	
  7.4591e+00	  1.1398e-02	  4.8478e-04	  1.3951e-03	  1.6833e-03	  6.6065e-05	  1.0997e-02	  5.6541e-04	  3.2500e-04	  1.0898e-03	  2.8895e+03	
  7.5407e+00	  1.1208e-02	  4.8417e-04	  1.3551e-03	  1.6450e-03	  6.0071e-05	  1.0423e-02	  6.2397e-04	  3.1810e-04	  1.4860e-03	  2.8650e+03	
  7.6147e+00	  1.1054e-02	  4.8484e-04	  1.3241e-03	  1.6168e-03	  5.5044e-05	  9.9406e-03	  6.6922e-04	  3.1235e-04	  1.8133e-03	  2.8444e+03	
  7.6829e+00	  1.0926e-02	  4.8641e-04	  1.2994e-03	  1.5956e-03	  5.0782e-05	  9.5316e-03	  7.0506e-04	  3.0742e-04	  2.0868e-03	  2.8269e+03	
  7.7469e+00	  1.0818e-02	  4.8862e-04	  1.2793e-03	  1.5796e-03	  4.7132e-05	  9.1814e-03	  7.3404e-04	  3.0313e-04	  2.3182e-03	  2.8117e+03	
  7.8076e+00	  1.0725e-02	  4.9130e-04	  1.2626e-03	  1.5674e-03	  4.3973e-05	  8.8788e-03	  7.5791e-04	  2.9932e-04	  2.5159e-03	  2.7985e+03	
  7.8657e+00	  1.0644e-02	  4.9431e-04	  1.2487e-03	  1.5582e-03	  4.1216e-05	  8.6149e-03	  7.7786e-04	  2.9592e-04	  2.6866e-03	  2.7868e+03	
  7.9218e+00	  1.0572e-02	  4.9757e-04	  1.2369e-03	  1.5513e-03	  3.8788e-05	  8.3831e-03	  7.9477e-04	  2.9284e-04	  2.8352e-03	  2.7765e+03	
  7.9765e+00	  1.0507e-02	  5.0103e-04	  1.2269e-03	  1.5464e-03	  3.6634e-05	  8.1780e-03	  8.0927e-04	  2.9004e-04	  2.9657e-03	  2.7674e+03	
  8.0299e+00	  1.0449e-02	  5.0462e-04	  1.2183e-03	  1.5429e-03	  3.4711e-05	  7.9953e-03	  8.2183e-04	  2.8749e-04	  3.0811e-03	  2.7591e+03	
  8.0826e+00	  1.0396e-02	  5.0832e-04	  1.2110e-03	  1.5408e-03	  3.2983e-05	  7.8316e-03	  8.3280e-04	  2.8516e-04	  3.1837e-03	  2.7517e+03	
  8.1346e+00	  1.0347e-02	  5.1208e-04	  1.2047e-03	  1.5398e-03	  3.1423e-05	  7.6841e-03	  8.4247e-04	  2.8303e-04	  3.2756e-03	  2.7450e+03	
  8.1864e+00	  1.0302e-02	  5.1590e-04	  1.1993e-03	  1.5398e-03	  3.0006e-05	  7.5505e-03	  8.5104e-04	  2.8110e-04	  3.3583e-03	  2.7389e+03	
