          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.3812e+00	  1.1832e-02	  4.8949e-04	  1.4932e-03	  1.7814e-03	  7.7794e-05	  1.2113e-02	  4.3080e-04	  3.4049e-04	  3.0097e-04	  2.9405e+03	
  7.4859e+00	  1.1714e-02	  4.8695e-04	  1.4684e-03	  1.7548e-03	  7.3913e-05	  1.1745e-02	  4.7429e-04	  3.3705e-04	  5.6872e-04	  2.9273e+03	
  7.5783e+00	  1.1609e-02	  4.8490e-04	  1.4467e-03	  1.7316e-03	  7.0342e-05	  1.1407e-02	  5.1213e-04	  3.3402e-04	  8.1084e-04	  2.9152e+03	
  7.6621e+00	  1.1515e-02	  4.8324e-04	  1.4274e-03	  1.7112e-03	  6.7062e-05	  1.1098e-02	  5.4526e-04	  3.3135e-04	  1.0300e-03	  2.9038e+03	
  7.7396e+00	  1.1429e-02	  4.8190e-04	  1.4102e-03	  1.6931e-03	  6.4050e-05	  1.0815e-02	  5.7444e-04	  3.2899e-04	  1.2287e-03	  2.8932e+03	
  7.8122e+00	  1.1351e-02	  4.8083e-04	  1.3947e-03	  1.6769e-03	  6.1279e-05	  1.0553e-02	  6.0027e-04	  3.2691e-04	  1.4094e-03	  2.8830e+03	
  7.8811e+00	  1.1279e-02	  4.7999e-04	  1.3806e-03	  1.6623e-03	  5.8724e-05	  1.0312e-02	  6.2326e-04	  3.2509e-04	  1.5741e-03	  2.8734e+03	
  7.9471e+00	  1.1213e-02	  4.7935e-04	  1.3680e-03	  1.6492e-03	  5.6363e-05	  1.0089e-02	  6.4382e-04	  3.2350e-04	  1.7247e-03	  2.8643e+03	
  8.0107e+00	  1.1151e-02	  4.7889e-04	  1.3564e-03	  1.6374e-03	  5.4175e-05	  9.8828e-03	  6.6227e-04	  3.2214e-04	  1.8628e-03	  2.8555e+03	
  8.0724e+00	  1.1094e-02	  4.7857e-04	  1.3460e-03	  1.6267e-03	  5.2142e-05	  9.6908e-03	  6.7892e-04	  3.2100e-04	  1.9897e-03	  2.8472e+03	
  8.1326e+00	  1.1041e-02	  4.7838e-04	  1.3365e-03	  1.6171e-03	  5.0250e-05	  9.5120e-03	  6.9398e-04	  3.2009e-04	  2.1067e-03	  2.8392e+03	
  8.1917e+00	  1.0991e-02	  4.7832e-04	  1.3280e-03	  1.6084e-03	  4.8483e-05	  9.3452e-03	  7.0767e-04	  3.1940e-04	  2.2147e-03	  2.8316e+03	
  8.2497e+00	  1.0944e-02	  4.7836e-04	  1.3204e-03	  1.6006e-03	  4.6831e-05	  9.1892e-03	  7.2014e-04	  3.1894e-04	  2.3149e-03	  2.8244e+03	
  8.3070e+00	  1.0900e-02	  4.7849e-04	  1.3136e-03	  1.5937e-03	  4.5283e-05	  9.0430e-03	  7.3156e-04	  3.1872e-04	  2.4078e-03	  2.8175e+03	
