          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.0681e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  4.3221e-06	  4.8936e+03	
  7.0681e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  4.3221e-06	  4.8936e+03	
  7.1435e+00	  3.2244e-02	  4.2988e-03	  2.1381e-03	  2.5067e-03	  4.2289e-05	  3.6319e-02	  3.0835e-03	  2.1122e-04	  1.3127e-03	  7.9059e+03	
  7.2030e+00	  3.6459e-02	  5.5432e-03	  2.1526e-03	  2.5493e-03	  2.9240e-05	  4.0838e-02	  3.7130e-03	  1.4098e-04	  1.7790e-03	  8.8931e+03	
  7.2610e+00	  3.8568e-02	  6.1662e-03	  2.1570e-03	  2.5810e-03	  2.2576e-05	  4.3097e-02	  4.0277e-03	  1.0580e-04	  2.0296e-03	  9.3849e+03	
  7.3195e+00	  3.9833e-02	  6.5403e-03	  2.1577e-03	  2.6079e-03	  1.8514e-05	  4.4451e-02	  4.2164e-03	  8.4664e-05	  2.1920e-03	  9.6800e+03	
  7.3790e+00	  4.0677e-02	  6.7898e-03	  2.1566e-03	  2.6319e-03	  1.5767e-05	  4.5354e-02	  4.3422e-03	  7.0568e-05	  2.3087e-03	  9.8771e+03	
  7.4396e+00	  4.1280e-02	  6.9680e-03	  2.1544e-03	  2.6538e-03	  1.3777e-05	  4.5999e-02	  4.4320e-03	  6.0496e-05	  2.3980e-03	  1.0018e+04	
  7.5013e+00	  4.1732e-02	  7.1017e-03	  2.1517e-03	  2.6740e-03	  1.2260e-05	  4.6483e-02	  4.4994e-03	  5.2940e-05	  2.4691e-03	  1.0125e+04	
  7.5641e+00	  4.2084e-02	  7.2057e-03	  2.1485e-03	  2.6926e-03	  1.1061e-05	  4.6859e-02	  4.5518e-03	  4.7062e-05	  2.5271e-03	  1.0207e+04	
  7.6280e+00	  4.2365e-02	  7.2889e-03	  2.1451e-03	  2.7100e-03	  1.0084e-05	  4.7160e-02	  4.5937e-03	  4.2358e-05	  2.5751e-03	  1.0274e+04	
  7.6930e+00	  4.2595e-02	  7.3570e-03	  2.1415e-03	  2.7263e-03	  9.2697e-06	  4.7406e-02	  4.6280e-03	  3.8510e-05	  2.6152e-03	  1.0328e+04	
  7.7589e+00	  4.2787e-02	  7.4138e-03	  2.1378e-03	  2.7415e-03	  8.5789e-06	  4.7611e-02	  4.6566e-03	  3.5302e-05	  2.6488e-03	  1.0374e+04	
  7.8260e+00	  4.2949e-02	  7.4618e-03	  2.1341e-03	  2.7559e-03	  7.9846e-06	  4.7785e-02	  4.6807e-03	  3.2588e-05	  2.6768e-03	  1.0412e+04	
  7.8940e+00	  4.3088e-02	  7.5029e-03	  2.1304e-03	  2.7695e-03	  7.4678e-06	  4.7934e-02	  4.7015e-03	  3.0261e-05	  2.7000e-03	  1.0445e+04	
  7.9632e+00	  4.3209e-02	  7.5386e-03	  2.1270e-03	  2.7825e-03	  7.0148e-06	  4.8063e-02	  4.7194e-03	  2.8245e-05	  2.7188e-03	  1.0474e+04	
