time,IC,MB
1,0.12,
2,0.23,
4,0.37,
7,0.49,0.31481
10,0.77,
15,0.96,
31,1.65,0.43265
45,2.13,
60,2.46,
90,2.76,
120,3.07,
150,3.13,0.14263
210,3.48,
270,3.76,0.24249
365,3.89,0.19977
1,0.27,
2,0.4,
4,0.6,
7,0.71,0.50971
10,0.92,
15,1.01,
31,1.53,0.75492
45,1.8,
60,2.04,
90,2.23,
120,2.55,
150,2.64,0.22678
210,2.98,
270,3.3,0.24765
365,3.64,0.14288
1,0.2,
2,0.31,
4,0.5,
7,0.61,0.819
10,0.83,
15,1.02,
31,1.81,1.027
45,2.12,
60,2.38,
90,2.69,
120,2.89,
150,2.96,0.173
210,3.23,
270,3.47,0.48915
365,3.59,0.496
