          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.0361	  0.00125468	  0.0000e+00	  7.0361e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  9.3397e+01	  7.8466e-01	  9.7624e-01	  9.9160e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.0361	  0.00125468	  0.0000e+00	  7.0361e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  9.3397e+01	  7.8466e-01	  9.7624e-01	  9.9160e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      6.8429	  0.00627741	  1.0000e+00	  6.8429e+00	  3.3912e-04	  6.9709e-05	  1.1765e-03	  5.4076e-04	  4.7822e-05	  2.1403e-03	  6.6391e-04	  9.2613e-05	  2.9031e-04	  8.3592e+02	  4.2408e-01	  8.2426e-01	  9.3394e-01	  9.9944e-01	  4.5910e+00	  1.5962e+01	  1.7665e+00	  2.8859e-01	  5.7463e-01	  5.2497e-02	  5.2497e-02	  1.9361e-01	  2.3290e+01	  0.0000e+00	  0.0000e+00	  7.3588e-04	  1.3997e-03	
     6.87799	  0.00964477	  2.0000e+00	  6.8780e+00	  4.9549e-04	  8.8169e-05	  1.8542e-03	  8.6620e-04	  2.3883e-05	  3.6204e-03	  1.0696e-03	  1.1468e-04	  4.8190e-04	  1.3055e+03	  3.4721e-01	  7.5101e-01	  9.0178e-01	  9.9878e-01	  4.4742e+00	  1.6022e+01	  1.7659e+00	  1.4488e-01	  6.1004e-01	  5.3038e-02	  5.3038e-02	  3.5754e-01	  2.3126e+01	  0.0000e+00	  0.0000e+00	  8.5047e-04	  1.3832e-03	
     6.93541	   0.0125939	  3.0000e+00	  6.9354e+00	  6.4900e-04	  1.0249e-04	  2.4479e-03	  1.1565e-03	  1.3837e-05	  4.9290e-03	  1.4113e-03	  1.3058e-04	  6.6436e-04	  1.7057e+03	  3.0441e-01	  6.9831e-01	  8.7633e-01	  9.9805e-01	  4.3592e+00	  1.6082e+01	  1.7652e+00	  7.1886e-02	  6.2614e-01	  5.3604e-02	  5.3604e-02	  4.6908e-01	  2.3015e+01	  0.0000e+00	  0.0000e+00	  9.1377e-04	  1.3778e-03	
     6.99599	   0.0153049	  4.0000e+00	  6.9960e+00	  8.0441e-04	  1.1484e-04	  2.9924e-03	  1.4261e-03	  8.8047e-06	  6.1407e-03	  1.7206e-03	  1.4337e-04	  8.3935e-04	  2.0674e+03	  2.7554e-01	  6.5675e-01	  8.5470e-01	  9.9727e-01	  4.2459e+00	  1.6141e+01	  1.7644e+00	  4.7342e-02	  6.3042e-01	  5.4179e-02	  5.4179e-02	  5.4312e-01	  2.2941e+01	  0.0000e+00	  0.0000e+00	  9.5223e-04	  1.3759e-03	
     7.05449	   0.0178538	  5.0000e+00	  7.0545e+00	  9.6278e-04	  1.2602e-04	  3.5025e-03	  1.6814e-03	  6.0030e-06	  7.2876e-03	  2.0096e-03	  1.5425e-04	  1.0078e-03	  2.4032e+03	  2.5416e-01	  6.2241e-01	  8.3564e-01	  9.9646e-01	  4.1343e+00	  1.6200e+01	  1.7636e+00	  4.0676e-02	  6.3018e-01	  5.4755e-02	  5.4755e-02	  6.0300e-01	  2.2881e+01	  0.0000e+00	  0.0000e+00	  9.7701e-04	  1.3753e-03	
     7.10953	   0.0202815	  6.0000e+00	  7.1095e+00	  1.1242e-03	  1.3641e-04	  3.9866e-03	  1.9258e-03	  4.3139e-06	  8.3866e-03	  2.2844e-03	  1.6381e-04	  1.1706e-03	  2.7199e+03	  2.3742e-01	  5.9320e-01	  8.1850e-01	  9.9560e-01	  4.0244e+00	  1.6257e+01	  1.7628e+00	  3.8778e-02	  6.2830e-01	  5.5329e-02	  5.5329e-02	  6.5894e-01	  2.2825e+01	  0.0000e+00	  0.0000e+00	  9.9364e-04	  1.3749e-03	
     7.16099	   0.0226131	  7.0000e+00	  7.1610e+00	  1.2886e-03	  1.4625e-04	  4.4497e-03	  2.1615e-03	  3.2292e-06	  9.4482e-03	  2.5485e-03	  1.7238e-04	  1.3285e-03	  3.0217e+03	  2.2381e-01	  5.6784e-01	  8.0287e-01	  9.9472e-01	  3.9161e+00	  1.6314e+01	  1.7619e+00	  3.8034e-02	  6.2560e-01	  5.5901e-02	  5.5901e-02	  7.1375e-01	  2.2770e+01	  0.0000e+00	  0.0000e+00	  1.0051e-03	  1.3745e-03	
     7.20918	   0.0248652	  8.0000e+00	  7.2092e+00	  1.4558e-03	  1.5566e-04	  4.8954e-03	  2.3898e-03	  2.4961e-06	  1.0479e-02	  2.8041e-03	  1.8019e-04	  1.4820e-03	  3.3111e+03	  2.1243e-01	  5.4549e-01	  7.8848e-01	  9.9381e-01	  3.8095e+00	  1.6369e+01	  1.7611e+00	  3.7571e-02	  6.2232e-01	  5.6469e-02	  5.6469e-02	  7.6804e-01	  2.2716e+01	  0.0000e+00	  0.0000e+00	  1.0133e-03	  1.3741e-03	
