        Time	          pH	          SC	          IC	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
  0.0000e+00	  7.0361e+00	  9.3397e+01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  7.0361e+00	  9.3397e+01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  7.1056e+00	  2.1761e+03	  5.5483e-01	  4.1351e+00	  1.6200e+01	  1.7667e+00	  3.7312e-02	  6.7730e-01	  5.4884e-02	  5.4884e-02	  2.2929e+01	  0.0000e+00	  0.0000e+00	  9.7482e-04	  1.3614e-03	
  1.0000e+01	  7.3774e+00	  3.5306e+03	  7.8810e-01	  3.6027e+00	  1.6480e+01	  1.7647e+00	  3.2566e-02	  6.9691e-01	  5.8041e-02	  5.8041e-02	  2.2696e+01	  0.0000e+00	  0.0000e+00	  1.0266e-03	  1.3583e-03	
  1.5000e+01	  7.3931e+00	  4.6404e+03	  1.0059e+00	  3.1133e+00	  1.6739e+01	  1.7627e+00	  2.9573e-02	  7.0851e-01	  6.1260e-02	  6.1260e-02	  2.2478e+01	  0.0000e+00	  3.0279e-02	  1.0306e-03	  1.3354e-03	
  2.0000e+01	  7.4232e+00	  5.6723e+03	  1.2082e+00	  2.6686e+00	  1.6975e+01	  1.7608e+00	  2.6911e-02	  7.1289e-01	  6.4502e-02	  6.4502e-02	  2.2276e+01	  0.0000e+00	  5.9282e-02	  1.0336e-03	  1.3192e-03	
  2.5000e+01	  7.4630e+00	  6.6498e+03	  1.3943e+00	  2.2696e+00	  1.7188e+01	  1.7588e+00	  2.4518e-02	  7.1058e-01	  6.7732e-02	  6.7732e-02	  2.2090e+01	  0.0000e+00	  8.7027e-02	  1.0359e-03	  1.3071e-03	
  3.0000e+01	  7.5097e+00	  7.5846e+03	  1.5641e+00	  1.9159e+00	  1.7378e+01	  1.7568e+00	  2.2356e-02	  7.0218e-01	  7.0920e-02	  7.0920e-02	  2.1920e+01	  0.0000e+00	  1.1362e-01	  1.0376e-03	  1.2978e-03	
  3.5000e+01	  7.5616e+00	  8.4837e+03	  1.7178e+00	  1.6064e+00	  1.7545e+01	  1.7548e+00	  2.0402e-02	  6.8839e-01	  7.4036e-02	  7.4036e-02	  2.1766e+01	  0.0000e+00	  1.3915e-01	  1.0390e-03	  1.2903e-03	
  4.0000e+01	  7.6173e+00	  9.3517e+03	  1.8557e+00	  1.3386e+00	  1.7691e+01	  1.7528e+00	  1.8641e-02	  6.6999e-01	  7.7056e-02	  7.7056e-02	  2.1628e+01	  0.0000e+00	  1.6372e-01	  1.0401e-03	  1.2840e-03	
