          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1210e+00	  5.1417e-03	  3.1920e-04	  4.5897e-03	  9.0825e-04	  6.2013e-06	  3.2742e-03	  4.0813e-04	  3.8254e-04	  2.2202e-03	  2.3685e+03	  5.0339e-02	  1.2483e-01	  0.0000e+00	  1.9454e-01	  2.0822e-01	  0.0000e+00	
  7.1113e+00	  7.8997e-03	  3.5599e-04	  4.8994e-03	  9.7213e-04	  6.4039e-06	  5.1485e-03	  7.8288e-04	  3.8294e-04	  3.2956e-03	  3.0781e+03	  5.1503e-02	  1.2425e-01	  0.0000e+00	  1.9467e-01	  2.0802e-01	  0.0000e+00	
  7.1020e+00	  1.0566e-02	  3.9156e-04	  5.1955e-03	  1.0333e-03	  6.5932e-06	  6.9583e-03	  1.1447e-03	  3.8330e-04	  4.3324e-03	  3.7548e+03	  5.2619e-02	  1.2369e-01	  0.0000e+00	  1.9480e-01	  2.0783e-01	  0.0000e+00	
  7.0931e+00	  1.3142e-02	  4.2593e-04	  5.4786e-03	  1.0920e-03	  6.7714e-06	  8.7058e-03	  1.4942e-03	  3.8363e-04	  5.3321e-03	  4.4010e+03	  5.3690e-02	  1.2315e-01	  0.0000e+00	  1.9492e-01	  2.0765e-01	  0.0000e+00	
  7.0847e+00	  1.5632e-02	  4.5914e-04	  5.7494e-03	  1.1482e-03	  6.9400e-06	  1.0393e-02	  1.8316e-03	  3.8393e-04	  6.2959e-03	  5.0185e+03	  5.4718e-02	  1.2264e-01	  0.0000e+00	  1.9504e-01	  2.0748e-01	  0.0000e+00	
  7.0767e+00	  1.8037e-02	  4.9123e-04	  6.0085e-03	  1.2022e-03	  7.1003e-06	  1.2023e-02	  2.1574e-03	  3.8420e-04	  7.2253e-03	  5.6092e+03	  5.5705e-02	  1.2215e-01	  0.0000e+00	  1.9515e-01	  2.0731e-01	  0.0000e+00	
  7.0691e+00	  2.0362e-02	  5.2224e-04	  6.2566e-03	  1.2540e-03	  7.2530e-06	  1.3596e-02	  2.4720e-03	  3.8446e-04	  8.1214e-03	  6.1746e+03	  5.6654e-02	  1.2167e-01	  0.0000e+00	  1.9526e-01	  2.0715e-01	  0.0000e+00	
  7.0619e+00	  2.2607e-02	  5.5219e-04	  6.4943e-03	  1.3037e-03	  7.3989e-06	  1.5115e-02	  2.7757e-03	  3.8469e-04	  8.9854e-03	  6.7162e+03	  5.7566e-02	  1.2122e-01	  0.0000e+00	  1.9536e-01	  2.0699e-01	  0.0000e+00	
  7.0551e+00	  2.4777e-02	  5.8113e-04	  6.7220e-03	  1.3515e-03	  7.5385e-06	  1.6582e-02	  3.0691e-03	  3.8490e-04	  9.8186e-03	  7.2353e+03	  5.8442e-02	  1.2078e-01	  0.0000e+00	  1.9546e-01	  2.0684e-01	  0.0000e+00	
  7.0486e+00	  2.6872e-02	  6.0908e-04	  6.9403e-03	  1.3974e-03	  7.6723e-06	  1.7998e-02	  3.3523e-03	  3.8510e-04	  1.0622e-02	  7.7331e+03	  5.9286e-02	  1.2036e-01	  0.0000e+00	  1.9555e-01	  2.0670e-01	  0.0000e+00	
  7.0425e+00	  2.8897e-02	  6.3608e-04	  7.1496e-03	  1.4415e-03	  7.8006e-06	  1.9366e-02	  3.6258e-03	  3.8528e-04	  1.1397e-02	  8.2106e+03	  6.0097e-02	  1.1995e-01	  0.0000e+00	  1.9565e-01	  2.0656e-01	  0.0000e+00	
  7.0367e+00	  3.0852e-02	  6.6216e-04	  7.3504e-03	  1.4839e-03	  7.9239e-06	  2.0687e-02	  3.8899e-03	  3.8545e-04	  1.2144e-02	  8.6689e+03	  6.0878e-02	  1.1956e-01	  0.0000e+00	  1.9573e-01	  2.0643e-01	  0.0000e+00	
  7.0312e+00	  3.2741e-02	  6.8736e-04	  7.5430e-03	  1.5246e-03	  8.0423e-06	  2.1962e-02	  4.1449e-03	  3.8561e-04	  1.2865e-02	  9.1090e+03	  6.1629e-02	  1.1918e-01	  0.0000e+00	  1.9582e-01	  2.0630e-01	  0.0000e+00	
  7.0259e+00	  3.4566e-02	  7.1169e-04	  7.7279e-03	  1.5639e-03	  8.1562e-06	  2.3193e-02	  4.3911e-03	  3.8576e-04	  1.3560e-02	  9.5316e+03	  6.2353e-02	  1.1882e-01	  0.0000e+00	  1.9590e-01	  2.0618e-01	  0.0000e+00	
  7.0210e+00	  3.6328e-02	  7.3519e-04	  7.9054e-03	  1.6016e-03	  8.2658e-06	  2.4382e-02	  4.6289e-03	  3.8590e-04	  1.4230e-02	  9.9376e+03	  6.3049e-02	  1.1847e-01	  0.0000e+00	  1.9598e-01	  2.0606e-01	  0.0000e+00	
