          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8969e+00	  2.3224e-03	  2.8483e-04	  3.8399e-03	  8.1639e-04	  1.6427e-05	  1.4019e-03	  3.8236e-05	  3.8704e-04	  1.2552e-04	  1.4873e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8382e-01	  7.4497e-02	  0.0000e+00	
  6.8963e+00	  2.3339e-03	  2.8584e-04	  3.8717e-03	  8.2327e-04	  1.6340e-05	  1.4759e-03	  5.5877e-05	  3.8839e-04	  1.6321e-04	  1.5120e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8395e-01	  7.4306e-02	  0.0000e+00	
  6.8957e+00	  2.3450e-03	  2.8681e-04	  3.9024e-03	  8.2992e-04	  1.6258e-05	  1.5471e-03	  7.2795e-05	  3.8968e-04	  1.9948e-04	  1.5357e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8407e-01	  7.4122e-02	  0.0000e+00	
  6.8952e+00	  2.3557e-03	  2.8774e-04	  3.9321e-03	  8.3634e-04	  1.6179e-05	  1.6155e-03	  8.9026e-05	  3.9093e-04	  2.3439e-04	  1.5586e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8419e-01	  7.3944e-02	  0.0000e+00	
  6.8947e+00	  2.3661e-03	  2.8864e-04	  3.9607e-03	  8.4253e-04	  1.6103e-05	  1.6814e-03	  1.0460e-04	  3.9212e-04	  2.6800e-04	  1.5805e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8430e-01	  7.3772e-02	  0.0000e+00	
  6.8942e+00	  2.3760e-03	  2.8950e-04	  3.9883e-03	  8.4851e-04	  1.6031e-05	  1.7447e-03	  1.1955e-04	  3.9327e-04	  3.0036e-04	  1.6016e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8441e-01	  7.3607e-02	  0.0000e+00	
  6.8937e+00	  2.3857e-03	  2.9033e-04	  4.0149e-03	  8.5428e-04	  1.5962e-05	  1.8056e-03	  1.3391e-04	  3.9438e-04	  3.3152e-04	  1.6219e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8452e-01	  7.3447e-02	  0.0000e+00	
  6.8933e+00	  2.3949e-03	  2.9113e-04	  4.0407e-03	  8.5985e-04	  1.5896e-05	  1.8643e-03	  1.4769e-04	  3.9544e-04	  3.6153e-04	  1.6415e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8462e-01	  7.3293e-02	  0.0000e+00	
  6.8928e+00	  2.4039e-03	  2.9189e-04	  4.0655e-03	  8.6523e-04	  1.5832e-05	  1.9207e-03	  1.6094e-04	  3.9647e-04	  3.9043e-04	  1.6603e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8472e-01	  7.3144e-02	  0.0000e+00	
  6.8924e+00	  2.4125e-03	  2.9263e-04	  4.0895e-03	  8.7042e-04	  1.5772e-05	  1.9750e-03	  1.7366e-04	  3.9745e-04	  4.1827e-04	  1.6783e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8482e-01	  7.3000e-02	  0.0000e+00	
  6.8921e+00	  2.4209e-03	  2.9334e-04	  4.1126e-03	  8.7544e-04	  1.5713e-05	  2.0273e-03	  1.8590e-04	  3.9840e-04	  4.4510e-04	  1.6958e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8491e-01	  7.2861e-02	  0.0000e+00	
  6.8917e+00	  2.4289e-03	  2.9403e-04	  4.1350e-03	  8.8028e-04	  1.5658e-05	  2.0776e-03	  1.9765e-04	  3.9931e-04	  4.7094e-04	  1.7125e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8500e-01	  7.2727e-02	  0.0000e+00	
  6.8913e+00	  2.4367e-03	  2.9469e-04	  4.1565e-03	  8.8495e-04	  1.5604e-05	  2.1261e-03	  2.0896e-04	  4.0019e-04	  4.9584e-04	  1.7287e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8509e-01	  7.2598e-02	  0.0000e+00	
  6.8910e+00	  2.4442e-03	  2.9532e-04	  4.1774e-03	  8.8946e-04	  1.5553e-05	  2.1728e-03	  2.1983e-04	  4.0104e-04	  5.1984e-04	  1.7442e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8517e-01	  7.2473e-02	  0.0000e+00	
  6.8907e+00	  2.4514e-03	  2.9594e-04	  4.1975e-03	  8.9381e-04	  1.5504e-05	  2.2177e-03	  2.3029e-04	  4.0185e-04	  5.4297e-04	  1.7592e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.8525e-01	  7.2353e-02	  0.0000e+00	
