          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6283e+00	  4.2888e-03	  3.3841e-04	  5.0352e-03	  1.1165e-03	  1.7918e-05	  6.4705e-03	  2.2842e-04	  4.3261e-04	  7.6712e-05	  2.7037e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9119e-01	  6.3473e-02	  0.0000e+00	
  6.6208e+00	  4.3509e-03	  3.4227e-04	  5.1627e-03	  1.1451e-03	  1.8057e-05	  6.8690e-03	  2.7510e-04	  4.3735e-04	  9.8331e-05	  2.8033e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9138e-01	  6.3178e-02	  0.0000e+00	
  6.6136e+00	  4.4105e-03	  3.4596e-04	  5.2859e-03	  1.1728e-03	  1.8195e-05	  7.2502e-03	  3.1943e-04	  4.4187e-04	  1.1902e-04	  2.8986e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9157e-01	  6.2896e-02	  0.0000e+00	
  6.6068e+00	  4.4679e-03	  3.4948e-04	  5.4048e-03	  1.1994e-03	  1.8332e-05	  7.6153e-03	  3.6158e-04	  4.4618e-04	  1.3884e-04	  2.9897e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9175e-01	  6.2628e-02	  0.0000e+00	
  6.6003e+00	  4.5230e-03	  3.5285e-04	  5.5196e-03	  1.2252e-03	  1.8468e-05	  7.9650e-03	  4.0173e-04	  4.5030e-04	  1.5783e-04	  3.0769e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9191e-01	  6.2372e-02	  0.0000e+00	
  6.5941e+00	  4.5761e-03	  3.5607e-04	  5.6304e-03	  1.2501e-03	  1.8602e-05	  8.3002e-03	  4.3999e-04	  4.5422e-04	  1.7605e-04	  3.1604e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9208e-01	  6.2127e-02	  0.0000e+00	
  6.5882e+00	  4.6271e-03	  3.5915e-04	  5.7375e-03	  1.2741e-03	  1.8733e-05	  8.6217e-03	  4.7650e-04	  4.5798e-04	  1.9352e-04	  3.2405e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9223e-01	  6.1894e-02	  0.0000e+00	
  6.5826e+00	  4.6763e-03	  3.6209e-04	  5.8408e-03	  1.2973e-03	  1.8863e-05	  8.9302e-03	  5.1136e-04	  4.6156e-04	  2.1030e-04	  3.3172e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9238e-01	  6.1671e-02	  0.0000e+00	
  6.5772e+00	  4.7236e-03	  3.6492e-04	  5.9405e-03	  1.3196e-03	  1.8991e-05	  9.2264e-03	  5.4468e-04	  4.6499e-04	  2.2641e-04	  3.3909e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9252e-01	  6.1458e-02	  0.0000e+00	
  6.5721e+00	  4.7691e-03	  3.6762e-04	  6.0368e-03	  1.3412e-03	  1.9116e-05	  9.5109e-03	  5.7655e-04	  4.6827e-04	  2.4188e-04	  3.4615e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9265e-01	  6.1254e-02	  0.0000e+00	
  6.5672e+00	  4.8129e-03	  3.7021e-04	  6.1298e-03	  1.3621e-03	  1.9238e-05	  9.7841e-03	  6.0705e-04	  4.7141e-04	  2.5676e-04	  3.5294e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9278e-01	  6.1059e-02	  0.0000e+00	
  6.5625e+00	  4.8552e-03	  3.7270e-04	  6.2196e-03	  1.3822e-03	  1.9358e-05	  1.0047e-02	  6.3625e-04	  4.7442e-04	  2.7105e-04	  3.5945e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9290e-01	  6.0873e-02	  0.0000e+00	
  6.5581e+00	  4.8958e-03	  3.7508e-04	  6.3062e-03	  1.4017e-03	  1.9476e-05	  1.0299e-02	  6.6423e-04	  4.7730e-04	  2.8480e-04	  3.6571e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9302e-01	  6.0695e-02	  0.0000e+00	
  6.5538e+00	  4.9350e-03	  3.7736e-04	  6.3899e-03	  1.4204e-03	  1.9591e-05	  1.0542e-02	  6.9106e-04	  4.8006e-04	  2.9802e-04	  3.7172e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9313e-01	  6.0525e-02	  0.0000e+00	
  6.5497e+00	  4.9728e-03	  3.7956e-04	  6.4706e-03	  1.4385e-03	  1.9703e-05	  1.0775e-02	  7.1678e-04	  4.8271e-04	  3.1075e-04	  3.7750e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9324e-01	  6.0362e-02	  0.0000e+00	
  6.5458e+00	  5.0092e-03	  3.8166e-04	  6.5485e-03	  1.4560e-03	  1.9813e-05	  1.1000e-02	  7.4146e-04	  4.8525e-04	  3.2299e-04	  3.8306e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9334e-01	  6.0206e-02	  0.0000e+00	
  6.5420e+00	  5.0443e-03	  3.8368e-04	  6.6238e-03	  1.4729e-03	  1.9920e-05	  1.1216e-02	  7.6515e-04	  4.8768e-04	  3.3477e-04	  3.8840e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9344e-01	  6.0057e-02	  0.0000e+00	
  6.5384e+00	  5.0781e-03	  3.8563e-04	  6.6964e-03	  1.4892e-03	  2.0025e-05	  1.1424e-02	  7.8789e-04	  4.9002e-04	  3.4611e-04	  3.9354e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9354e-01	  5.9914e-02	  0.0000e+00	
  6.5350e+00	  5.1107e-03	  3.8749e-04	  6.7666e-03	  1.5049e-03	  2.0126e-05	  1.1624e-02	  8.0973e-04	  4.9226e-04	  3.5704e-04	  3.9849e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9363e-01	  5.9777e-02	  0.0000e+00	
  6.5317e+00	  5.1421e-03	  3.8928e-04	  6.8343e-03	  1.5201e-03	  2.0226e-05	  1.1817e-02	  8.3072e-04	  4.9441e-04	  3.6756e-04	  4.0324e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9371e-01	  5.9646e-02	  0.0000e+00	
  6.5285e+00	  5.1724e-03	  3.9101e-04	  6.8996e-03	  1.5348e-03	  2.0322e-05	  1.2003e-02	  8.5089e-04	  4.9648e-04	  3.7769e-04	  4.0782e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9379e-01	  5.9520e-02	  0.0000e+00	
  6.5255e+00	  5.2016e-03	  3.9266e-04	  6.9627e-03	  1.5489e-03	  2.0416e-05	  1.2182e-02	  8.7028e-04	  4.9846e-04	  3.8745e-04	  4.1223e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9387e-01	  5.9400e-02	  0.0000e+00	
  6.5225e+00	  5.2298e-03	  3.9425e-04	  7.0236e-03	  1.5626e-03	  2.0508e-05	  1.2354e-02	  8.8892e-04	  5.0037e-04	  3.9685e-04	  4.1647e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9395e-01	  5.9284e-02	  0.0000e+00	
  6.5197e+00	  5.2569e-03	  3.9579e-04	  7.0824e-03	  1.5758e-03	  2.0597e-05	  1.2520e-02	  9.0685e-04	  5.0220e-04	  4.0591e-04	  4.2056e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9402e-01	  5.9173e-02	  0.0000e+00	
  6.5170e+00	  5.2831e-03	  3.9726e-04	  7.1392e-03	  1.5885e-03	  2.0684e-05	  1.2680e-02	  9.2410e-04	  5.0397e-04	  4.1464e-04	  4.2449e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9409e-01	  5.9067e-02	  0.0000e+00	
  6.5144e+00	  5.3084e-03	  3.9867e-04	  7.1940e-03	  1.6008e-03	  2.0768e-05	  1.2834e-02	  9.4069e-04	  5.0566e-04	  4.2305e-04	  4.2828e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9416e-01	  5.8965e-02	  0.0000e+00	
  6.5120e+00	  5.3328e-03	  4.0004e-04	  7.2469e-03	  1.6127e-03	  2.0850e-05	  1.2982e-02	  9.5666e-04	  5.0729e-04	  4.3116e-04	  4.3193e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.9423e-01	  5.8866e-02	  0.0000e+00	
