          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7821e+00	  4.3186e-03	  3.4020e-04	  5.0803e-03	  1.1278e-03	  9.2997e-06	  6.6942e-03	  2.5681e-04	  4.3512e-04	  1.1634e-04	  2.7568e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6289e-01	  1.0590e-01	  0.0000e+00	
  6.7725e+00	  4.4146e-03	  3.4622e-04	  5.2804e-03	  1.1728e-03	  9.3212e-06	  7.3215e-03	  3.3010e-04	  4.4252e-04	  1.5002e-04	  2.9132e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6319e-01	  1.0546e-01	  0.0000e+00	
  6.7635e+00	  4.5066e-03	  3.5192e-04	  5.4733e-03	  1.2161e-03	  9.3462e-06	  7.9179e-03	  3.9904e-04	  4.4951e-04	  1.8207e-04	  3.0617e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6347e-01	  1.0503e-01	  0.0000e+00	
  6.7551e+00	  4.5947e-03	  3.5733e-04	  5.6594e-03	  1.2580e-03	  9.3739e-06	  8.4860e-03	  4.6406e-04	  4.5613e-04	  2.1262e-04	  3.2029e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6374e-01	  1.0463e-01	  0.0000e+00	
  6.7472e+00	  4.6791e-03	  3.6247e-04	  5.8389e-03	  1.2983e-03	  9.4039e-06	  9.0277e-03	  5.2553e-04	  4.6241e-04	  2.4178e-04	  3.3375e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6400e-01	  1.0424e-01	  0.0000e+00	
  6.7397e+00	  4.7602e-03	  3.6736e-04	  6.0120e-03	  1.3372e-03	  9.4355e-06	  9.5448e-03	  5.8376e-04	  4.6836e-04	  2.6963e-04	  3.4657e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6424e-01	  1.0388e-01	  0.0000e+00	
  6.7326e+00	  4.8380e-03	  3.7201e-04	  6.1790e-03	  1.3747e-03	  9.4685e-06	  1.0039e-02	  6.3902e-04	  4.7401e-04	  2.9628e-04	  3.5882e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6447e-01	  1.0353e-01	  0.0000e+00	
  6.7260e+00	  4.9127e-03	  3.7644e-04	  6.3400e-03	  1.4109e-03	  9.5025e-06	  1.0512e-02	  6.9154e-04	  4.7939e-04	  3.2178e-04	  3.7052e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6469e-01	  1.0320e-01	  0.0000e+00	
  6.7196e+00	  4.9845e-03	  3.8067e-04	  6.4953e-03	  1.4458e-03	  9.5373e-06	  1.0964e-02	  7.4153e-04	  4.8450e-04	  3.4621e-04	  3.8170e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6490e-01	  1.0289e-01	  0.0000e+00	
  6.7136e+00	  5.0535e-03	  3.8470e-04	  6.6451e-03	  1.4794e-03	  9.5725e-06	  1.1398e-02	  7.8917e-04	  4.8937e-04	  3.6962e-04	  3.9241e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6510e-01	  1.0259e-01	  0.0000e+00	
  6.7080e+00	  5.1199e-03	  3.8855e-04	  6.7896e-03	  1.5119e-03	  9.6081e-06	  1.1813e-02	  8.3461e-04	  4.9401e-04	  3.9208e-04	  4.0265e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6529e-01	  1.0230e-01	  0.0000e+00	
  6.7025e+00	  5.1837e-03	  3.9222e-04	  6.9290e-03	  1.5432e-03	  9.6437e-06	  1.2212e-02	  8.7800e-04	  4.9844e-04	  4.1363e-04	  4.1247e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6547e-01	  1.0203e-01	  0.0000e+00	
  6.6974e+00	  5.2451e-03	  3.9574e-04	  7.0634e-03	  1.5734e-03	  9.6794e-06	  1.2594e-02	  9.1947e-04	  5.0266e-04	  4.3432e-04	  4.2188e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6564e-01	  1.0177e-01	  0.0000e+00	
  6.6925e+00	  5.3042e-03	  3.9910e-04	  7.1932e-03	  1.6026e-03	  9.7150e-06	  1.2961e-02	  9.5914e-04	  5.0670e-04	  4.5420e-04	  4.3090e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6581e-01	  1.0152e-01	  0.0000e+00	
  6.6878e+00	  5.3611e-03	  4.0232e-04	  7.3183e-03	  1.6307e-03	  9.7503e-06	  1.3313e-02	  9.9710e-04	  5.1055e-04	  4.7329e-04	  4.3956e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6596e-01	  1.0129e-01	  0.0000e+00	
  6.6834e+00	  5.4159e-03	  4.0540e-04	  7.4390e-03	  1.6578e-03	  9.7853e-06	  1.3652e-02	  1.0335e-03	  5.1424e-04	  4.9165e-04	  4.4787e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6611e-01	  1.0106e-01	  0.0000e+00	
  6.6791e+00	  5.4687e-03	  4.0835e-04	  7.5555e-03	  1.6840e-03	  9.8199e-06	  1.3977e-02	  1.0683e-03	  5.1776e-04	  5.0930e-04	  4.5585e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.6626e-01	  1.0085e-01	  0.0000e+00	
  6.6751e+00	  5.5195e-03	  4.1118e-04	  7.6678e-03	  1.7093e-03	  9.8541e-06	  1.4290e-02	  1.1017e-03	  5.2113e-04	  5.2627e-04	  4.6351e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6639e-01	  1.0064e-01	  0.0000e+00	
  6.6712e+00	  5.5685e-03	  4.1389e-04	  7.7763e-03	  1.7336e-03	  9.8878e-06	  1.4591e-02	  1.1337e-03	  5.2436e-04	  5.4260e-04	  4.7087e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6653e-01	  1.0044e-01	  0.0000e+00	
  6.6675e+00	  5.6156e-03	  4.1649e-04	  7.8809e-03	  1.7571e-03	  9.9209e-06	  1.4880e-02	  1.1645e-03	  5.2745e-04	  5.5831e-04	  4.7795e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6665e-01	  1.0026e-01	  0.0000e+00	
  6.6640e+00	  5.6611e-03	  4.1898e-04	  7.9818e-03	  1.7798e-03	  9.9535e-06	  1.5159e-02	  1.1940e-03	  5.3041e-04	  5.7344e-04	  4.8475e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6677e-01	  1.0008e-01	  0.0000e+00	
  6.6606e+00	  5.7049e-03	  4.2137e-04	  8.0792e-03	  1.8017e-03	  9.9854e-06	  1.5427e-02	  1.2224e-03	  5.3325e-04	  5.8799e-04	  4.9128e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6689e-01	  9.9903e-02	  0.0000e+00	
  6.6573e+00	  5.7472e-03	  4.2367e-04	  8.1732e-03	  1.8228e-03	  1.0017e-05	  1.5685e-02	  1.2496e-03	  5.3597e-04	  6.0201e-04	  4.9757e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6699e-01	  9.9738e-02	  0.0000e+00	
  6.6542e+00	  5.7879e-03	  4.2588e-04	  8.2639e-03	  1.8432e-03	  1.0047e-05	  1.5933e-02	  1.2758e-03	  5.3858e-04	  6.1551e-04	  5.0362e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6710e-01	  9.9581e-02	  0.0000e+00	
  6.6513e+00	  5.8272e-03	  4.2800e-04	  8.3514e-03	  1.8629e-03	  1.0077e-05	  1.6172e-02	  1.3009e-03	  5.4109e-04	  6.2851e-04	  5.0944e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6720e-01	  9.9429e-02	  0.0000e+00	
  6.6484e+00	  5.8650e-03	  4.3003e-04	  8.4358e-03	  1.8819e-03	  1.0107e-05	  1.6402e-02	  1.3251e-03	  5.4349e-04	  6.4104e-04	  5.1504e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6730e-01	  9.9284e-02	  0.0000e+00	
  6.6457e+00	  5.9015e-03	  4.3199e-04	  8.5173e-03	  1.9002e-03	  1.0135e-05	  1.6624e-02	  1.3484e-03	  5.4580e-04	  6.5310e-04	  5.2043e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6739e-01	  9.9146e-02	  0.0000e+00	
