          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9804e+00	  1.9810e-02	  5.8619e-04	  2.1141e-03	  2.4612e-03	  7.9538e-05	  2.3045e-02	  1.2292e-03	  4.2423e-04	  2.6885e-05	  6.3083e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9680e+00	  1.9987e-02	  5.9109e-04	  2.1530e-03	  2.5063e-03	  7.9196e-05	  2.3337e-02	  1.2646e-03	  4.2753e-04	  4.7232e-05	  6.3848e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9560e+00	  2.0157e-02	  5.9580e-04	  2.1907e-03	  2.5500e-03	  7.8876e-05	  2.3619e-02	  1.2986e-03	  4.3070e-04	  6.6739e-05	  6.4583e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9445e+00	  2.0320e-02	  6.0032e-04	  2.2271e-03	  2.5923e-03	  7.8575e-05	  2.3891e-02	  1.3312e-03	  4.3373e-04	  8.5448e-05	  6.5291e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9333e+00	  2.0477e-02	  6.0466e-04	  2.2624e-03	  2.6332e-03	  7.8292e-05	  2.4153e-02	  1.3624e-03	  4.3664e-04	  1.0340e-04	  6.5972e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9226e+00	  2.0628e-02	  6.0882e-04	  2.2965e-03	  2.6728e-03	  7.8026e-05	  2.4406e-02	  1.3924e-03	  4.3944e-04	  1.2063e-04	  6.6628e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9123e+00	  2.0773e-02	  6.1283e-04	  2.3296e-03	  2.7110e-03	  7.7775e-05	  2.4650e-02	  1.4212e-03	  4.4212e-04	  1.3717e-04	  6.7259e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9023e+00	  2.0912e-02	  6.1667e-04	  2.3615e-03	  2.7480e-03	  7.7538e-05	  2.4885e-02	  1.4489e-03	  4.4469e-04	  1.5306e-04	  6.7867e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8927e+00	  2.1047e-02	  6.2037e-04	  2.3924e-03	  2.7838e-03	  7.7315e-05	  2.5112e-02	  1.4755e-03	  4.4716e-04	  1.6832e-04	  6.8452e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
