          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9938e+00	  1.9626e-02	  5.8106e-04	  2.0738e-03	  2.4144e-03	  7.9906e-05	  2.2742e-02	  1.1922e-03	  4.2077e-04	  5.1194e-06	  6.2286e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9800e+00	  2.0002e-02	  5.9155e-04	  2.1569e-03	  2.5108e-03	  7.9095e-05	  2.3362e-02	  1.2717e-03	  4.2791e-04	  4.9746e-05	  6.3922e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9671e+00	  2.0360e-02	  6.0151e-04	  2.2373e-03	  2.6040e-03	  7.8360e-05	  2.3958e-02	  1.3471e-03	  4.3468e-04	  9.1118e-05	  6.5485e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9549e+00	  2.0702e-02	  6.1099e-04	  2.3152e-03	  2.6943e-03	  7.7687e-05	  2.4532e-02	  1.4187e-03	  4.4110e-04	  1.3050e-04	  6.6979e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9432e+00	  2.1029e-02	  6.2003e-04	  2.3906e-03	  2.7816e-03	  7.7071e-05	  2.5083e-02	  1.4867e-03	  4.4720e-04	  1.6803e-04	  6.8410e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9321e+00	  2.1341e-02	  6.2866e-04	  2.4637e-03	  2.8661e-03	  7.6504e-05	  2.5612e-02	  1.5514e-03	  4.5301e-04	  2.0384e-04	  6.9781e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9214e+00	  2.1640e-02	  6.3689e-04	  2.5344e-03	  2.9479e-03	  7.5982e-05	  2.6122e-02	  1.6131e-03	  4.5854e-04	  2.3804e-04	  7.1095e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9113e+00	  2.1927e-02	  6.4476e-04	  2.6028e-03	  3.0270e-03	  7.5499e-05	  2.6613e-02	  1.6720e-03	  4.6380e-04	  2.7072e-04	  7.2355e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.9015e+00	  2.2201e-02	  6.5228e-04	  2.6691e-03	  3.1036e-03	  7.5051e-05	  2.7085e-02	  1.7282e-03	  4.6883e-04	  3.0199e-04	  7.3564e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8922e+00	  2.2465e-02	  6.5948e-04	  2.7332e-03	  3.1776e-03	  7.4635e-05	  2.7540e-02	  1.7820e-03	  4.7362e-04	  3.3193e-04	  7.4724e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
