          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  6.8391e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.0212e+03	
  6.8391e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.0212e+03	
  6.9491e+00	  2.5850e-02	  4.1731e-03	  4.3908e-03	  1.0403e-03	  2.3111e-05	  2.9340e-02	  2.5780e-03	  2.1205e-04	  1.5132e-03	  6.7449e+03	
  7.0188e+00	  3.3091e-02	  5.4592e-03	  4.1415e-03	  1.0664e-03	  1.6503e-05	  3.7087e-02	  3.3762e-03	  1.4153e-04	  2.0139e-03	  8.2802e+03	
  7.0794e+00	  3.6714e-02	  6.1031e-03	  3.9961e-03	  1.1094e-03	  1.3046e-05	  4.0958e-02	  3.7750e-03	  1.0620e-04	  2.2641e-03	  9.0434e+03	
  7.1375e+00	  3.8889e-02	  6.4898e-03	  3.8941e-03	  1.1574e-03	  1.0910e-05	  4.3281e-02	  4.0143e-03	  8.4991e-05	  2.4142e-03	  9.5006e+03	
  7.1954e+00	  4.0340e-02	  6.7476e-03	  3.8148e-03	  1.2065e-03	  9.4556e-06	  4.4828e-02	  4.1738e-03	  7.0841e-05	  2.5142e-03	  9.8056e+03	
  7.2539e+00	  4.1376e-02	  6.9319e-03	  3.7491e-03	  1.2551e-03	  8.3970e-06	  4.5934e-02	  4.2877e-03	  6.0730e-05	  2.5857e-03	  1.0024e+04	
  7.3133e+00	  4.2153e-02	  7.0701e-03	  3.6923e-03	  1.3026e-03	  7.5878e-06	  4.6763e-02	  4.3731e-03	  5.3145e-05	  2.6393e-03	  1.0188e+04	
  7.3737e+00	  4.2757e-02	  7.1776e-03	  3.6418e-03	  1.3485e-03	  6.9444e-06	  4.7408e-02	  4.4395e-03	  4.7244e-05	  2.6810e-03	  1.0315e+04	
  7.4351e+00	  4.3241e-02	  7.2636e-03	  3.5958e-03	  1.3928e-03	  6.4161e-06	  4.7924e-02	  4.4927e-03	  4.2523e-05	  2.7143e-03	  1.0418e+04	
  7.4976e+00	  4.3637e-02	  7.3340e-03	  3.5535e-03	  1.4353e-03	  5.9703e-06	  4.8346e-02	  4.5362e-03	  3.8659e-05	  2.7416e-03	  1.0502e+04	
  7.5610e+00	  4.3966e-02	  7.3927e-03	  3.5140e-03	  1.4762e-03	  5.5856e-06	  4.8697e-02	  4.5724e-03	  3.5439e-05	  2.7643e-03	  1.0571e+04	
  7.6254e+00	  4.4245e-02	  7.4423e-03	  3.4770e-03	  1.5153e-03	  5.2475e-06	  4.8995e-02	  4.6030e-03	  3.2714e-05	  2.7835e-03	  1.0631e+04	
  7.6908e+00	  4.4485e-02	  7.4849e-03	  3.4420e-03	  1.5529e-03	  4.9464e-06	  4.9250e-02	  4.6293e-03	  3.0379e-05	  2.8000e-03	  1.0681e+04	
  7.7572e+00	  4.4692e-02	  7.5218e-03	  3.4088e-03	  1.5889e-03	  4.6757e-06	  4.9471e-02	  4.6521e-03	  2.8354e-05	  2.8143e-03	  1.0725e+04	
