          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.2583e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  2.9553e+03	
  7.3877e+00	  1.1882e-02	  4.9221e-04	  1.5068e-03	  1.7979e-03	  7.9372e-05	  1.2258e-02	  4.1122e-04	  3.4186e-04	  1.9536e-04	  2.9468e+03	
  7.5009e+00	  1.1804e-02	  4.9197e-04	  1.4928e-03	  1.7847e-03	  7.6844e-05	  1.2013e-02	  4.3928e-04	  3.3951e-04	  3.7388e-04	  2.9388e+03	
  7.6028e+00	  1.1732e-02	  4.9187e-04	  1.4795e-03	  1.7723e-03	  7.4421e-05	  1.1781e-02	  4.6497e-04	  3.3736e-04	  5.4118e-04	  2.9310e+03	
  7.6965e+00	  1.1663e-02	  4.9188e-04	  1.4670e-03	  1.7607e-03	  7.2112e-05	  1.1562e-02	  4.8853e-04	  3.3540e-04	  6.9785e-04	  2.9235e+03	
  7.7839e+00	  1.1598e-02	  4.9198e-04	  1.4551e-03	  1.7498e-03	  6.9917e-05	  1.1353e-02	  5.1018e-04	  3.3362e-04	  8.4456e-04	  2.9159e+03	
  7.8662e+00	  1.1536e-02	  4.9216e-04	  1.4437e-03	  1.7394e-03	  6.7830e-05	  1.1156e-02	  5.3013e-04	  3.3203e-04	  9.8205e-04	  2.9085e+03	
  7.9443e+00	  1.1477e-02	  4.9242e-04	  1.4329e-03	  1.7295e-03	  6.5847e-05	  1.0968e-02	  5.4854e-04	  3.3062e-04	  1.1110e-03	  2.9011e+03	
  8.0187e+00	  1.1420e-02	  4.9275e-04	  1.4227e-03	  1.7202e-03	  6.3962e-05	  1.0790e-02	  5.6556e-04	  3.2940e-04	  1.2321e-03	  2.8938e+03	
  8.0901e+00	  1.1366e-02	  4.9313e-04	  1.4130e-03	  1.7115e-03	  6.2167e-05	  1.0621e-02	  5.8134e-04	  3.2837e-04	  1.3459e-03	  2.8866e+03	
  8.1588e+00	  1.1315e-02	  4.9358e-04	  1.4039e-03	  1.7034e-03	  6.0457e-05	  1.0460e-02	  5.9599e-04	  3.2754e-04	  1.4530e-03	  2.8796e+03	
  8.2251e+00	  1.1266e-02	  4.9409e-04	  1.3955e-03	  1.6958e-03	  5.8826e-05	  1.0307e-02	  6.0962e-04	  3.2693e-04	  1.5540e-03	  2.8727e+03	
  8.2894e+00	  1.1219e-02	  4.9465e-04	  1.3876e-03	  1.6889e-03	  5.7270e-05	  1.0161e-02	  6.2233e-04	  3.2653e-04	  1.6492e-03	  2.8659e+03	
  8.3517e+00	  1.1174e-02	  4.9526e-04	  1.3805e-03	  1.6826e-03	  5.5785e-05	  1.0022e-02	  6.3420e-04	  3.2637e-04	  1.7393e-03	  2.8594e+03	
  8.4123e+00	  1.1131e-02	  4.9593e-04	  1.3741e-03	  1.6769e-03	  5.4364e-05	  9.8902e-03	  6.4532e-04	  3.2645e-04	  1.8244e-03	  2.8531e+03	
