        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.5893e+00	  1.2096e-08	  6.6226e-06	  1.4320e-05	  3.4749e-04	  9.3015e-04	  8.4406e+02	  4.2236e-01	  8.2286e-01	  9.3336e-01	  9.9943e-01	  4.5659e+00	  1.5974e+01	  1.7583e+00	  2.1288e-01	  6.4159e-01	  5.2531e-02	  5.2531e-02	  3.6881e-01	  2.3115e+01	  4.5873e-02	  1.0106e+00	  1.0000e+00	  1.0000e+00	  2.5868e-02	  8.6830e-05	  0.0000e+00	  3.3655e-04	  6.7240e-05	  1.0891e-03	  4.8507e-04	  1.1528e-04	  1.9035e-03	  1.7990e-04	  8.8560e-05	  9.3015e-04	  0.0000e+00	  1.4179e-03	
  2.0000e+00	  6.5337e+00	  3.0024e-10	  1.0109e-05	  1.4325e-05	  4.0287e-04	  1.0056e-03	  1.2804e+03	  3.5043e-01	  7.5459e-01	  9.0343e-01	  9.9882e-01	  4.4254e+00	  1.6047e+01	  1.7529e+00	  6.9202e-02	  7.0610e-01	  5.3157e-02	  5.3157e-02	  4.9178e-01	  2.2992e+01	  7.4326e-02	  1.0106e+00	  1.0000e+00	  1.0000e+00	  2.5874e-02	  4.6940e-04	  0.0000e+00	  4.8938e-04	  8.3160e-05	  1.6243e-03	  7.2493e-04	  9.0223e-05	  3.2706e-03	  2.8440e-04	  1.0652e-04	  1.0056e-03	  0.0000e+00	  1.4498e-03	
  3.0000e+00	  6.5043e+00	  1.4875e-10	  1.3504e-05	  1.4329e-05	  4.5945e-04	  1.1095e-03	  1.6603e+03	  3.0859e-01	  7.0390e-01	  8.7914e-01	  9.9814e-01	  4.2877e+00	  1.6119e+01	  1.7487e+00	  3.7267e-02	  7.3047e-01	  5.3823e-02	  5.3823e-02	  5.5893e-01	  2.2925e+01	  8.7001e-02	  1.0106e+00	  1.0001e+00	  1.0000e+00	  2.5876e-02	  1.1222e-03	  0.0000e+00	  6.4422e-04	  9.6077e-05	  2.1005e-03	  9.3906e-04	  7.5911e-05	  4.4767e-03	  3.6402e-04	  1.1980e-04	  1.1095e-03	  0.0000e+00	  1.5468e-03	
  4.0000e+00	  6.4872e+00	  1.0029e-10	  1.8039e-05	  1.4333e-05	  5.1646e-04	  1.2266e-03	  2.0069e+03	  2.7988e-01	  6.6335e-01	  8.5823e-01	  9.9741e-01	  4.1525e+00	  1.6190e+01	  1.7447e+00	  3.2090e-02	  7.4445e-01	  5.4507e-02	  5.4507e-02	  6.1333e-01	  2.2870e+01	  9.6626e-02	  1.0106e+00	  1.0002e+00	  1.0000e+00	  2.5877e-02	  1.9829e-03	  0.0000e+00	  8.0295e-04	  1.0746e-04	  2.5396e-03	  1.1370e-03	  6.5902e-05	  5.5896e-03	  4.3052e-04	  1.3056e-04	  1.2266e-03	  0.0000e+00	  1.6750e-03	
  5.0000e+00	  6.4777e+00	  7.6188e-11	  2.5461e-05	  1.4336e-05	  5.7345e-04	  1.3523e-03	  2.3306e+03	  2.5843e-01	  6.2952e-01	  8.3968e-01	  9.9664e-01	  4.0200e+00	  1.6259e+01	  1.7407e+00	  3.0635e-02	  7.5647e-01	  5.5203e-02	  5.5203e-02	  6.6725e-01	  2.2816e+01	  1.0558e-01	  1.0106e+00	  1.0003e+00	  1.0000e+00	  2.5878e-02	  3.0335e-03	  0.0000e+00	  9.6573e-04	  1.1792e-04	  2.9523e-03	  1.3234e-03	  5.8131e-05	  6.6389e-03	  4.8790e-04	  1.3972e-04	  1.3523e-03	  0.0000e+00	  1.8060e-03	
  6.0000e+00	  6.4736e+00	  6.1598e-11	  3.8275e-05	  1.4340e-05	  6.2985e-04	  1.4851e-03	  2.6374e+03	  2.4152e-01	  6.0054e-01	  8.2290e-01	  9.9583e-01	  3.8899e+00	  1.6327e+01	  1.7368e+00	  2.9661e-02	  7.6774e-01	  5.5909e-02	  5.5909e-02	  7.2237e-01	  2.2761e+01	  1.1418e-01	  1.0106e+00	  1.0004e+00	  1.0000e+00	  2.5878e-02	  4.2676e-03	  0.0000e+00	  1.1323e-03	  1.2776e-04	  3.3449e-03	  1.5011e-03	  5.1654e-05	  7.6407e-03	  5.3808e-04	  1.4775e-04	  1.4851e-03	  0.0000e+00	  1.9025e-03	
  7.0000e+00	  6.4736e+00	  5.1744e-11	  5.7247e-05	  1.4343e-05	  6.8528e-04	  1.6241e-03	  2.9308e+03	  2.2770e-01	  5.7524e-01	  8.0751e-01	  9.9499e-01	  3.7625e+00	  1.6394e+01	  1.7329e+00	  2.8781e-02	  7.7840e-01	  5.6626e-02	  5.6626e-02	  7.7885e-01	  2.2704e+01	  1.2247e-01	  1.0106e+00	  1.0006e+00	  1.0000e+00	  2.5879e-02	  5.6808e-03	  0.0000e+00	  1.3024e-03	  1.3716e-04	  3.7218e-03	  1.6719e-03	  4.6069e-05	  8.6048e-03	  5.8220e-04	  1.5494e-04	  1.6241e-03	  0.0000e+00	  1.9521e-03	
  8.0000e+00	  6.4764e+00	  4.4618e-11	  8.0859e-05	  1.4346e-05	  7.3976e-04	  1.7685e-03	  3.2134e+03	  2.1611e-01	  5.5283e-01	  7.9327e-01	  9.9412e-01	  3.6376e+00	  1.6460e+01	  1.7290e+00	  2.7949e-02	  7.8848e-01	  5.7353e-02	  5.7353e-02	  8.3665e-01	  2.2646e+01	  1.3047e-01	  1.0106e+00	  1.0007e+00	  1.0000e+00	  2.5879e-02	  7.2679e-03	  0.0000e+00	  1.4755e-03	  1.4623e-04	  4.0853e-03	  1.8368e-03	  4.1248e-05	  9.5378e-03	  6.2103e-04	  1.6148e-04	  1.7685e-03	  0.0000e+00	  1.9742e-03	
