        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.5970e+00	  9.2102e-05	  8.6604e-06	  1.5210e-05	  3.6199e-04	  8.7433e-04	  8.4560e+02	  4.2203e-01	  8.2260e-01	  9.3325e-01	  9.9943e-01	  4.5498e+00	  1.5995e+01	  1.7612e+00	  1.4871e-01	  5.1190e-01	  5.2463e-02	  5.2463e-02	  6.6747e-02	  2.3417e+01	  1.4319e-02	  1.0098e+00	  1.0000e+00	  1.0000e+00	  2.4058e-02	  1.0270e-03	  0.0000e+00	  4.4824e-04	
  2.0000e+00	  6.5143e+00	  2.7330e-06	  1.4071e-05	  1.5214e-05	  5.6037e-04	  1.2137e-03	  1.2834e+03	  3.5004e-01	  7.5416e-01	  9.0323e-01	  9.9881e-01	  4.3934e+00	  1.6084e+01	  1.7555e+00	  1.4018e-01	  4.9861e-01	  5.2917e-02	  5.2917e-02	  1.2715e-01	  2.3357e+01	  3.6955e-02	  1.0137e+00	  1.0001e+00	  1.0000e+00	  3.4474e-02	  5.4385e-03	  0.0000e+00	  7.0654e-04	
  3.0000e+00	  6.5039e+00	  5.6588e-07	  8.8373e-05	  1.5218e-05	  7.2041e-04	  1.5498e-03	  1.6186e+03	  3.1256e-01	  7.0913e-01	  8.8173e-01	  9.9822e-01	  4.2405e+00	  1.6172e+01	  1.7500e+00	  1.3264e-01	  4.8096e-01	  5.3353e-02	  5.3353e-02	  1.8195e-01	  2.3302e+01	  6.2523e-02	  1.0138e+00	  1.0007e+00	  1.0000e+00	  3.5233e-02	  1.4094e-02	  0.0000e+00	  7.6568e-04	
  4.0000e+00	  6.5193e+00	  3.0662e-07	  2.4387e-04	  1.5222e-05	  9.0135e-04	  1.9956e-03	  1.9219e+03	  2.8629e-01	  6.7285e-01	  8.6325e-01	  9.9760e-01	  4.0911e+00	  1.6257e+01	  1.7445e+00	  1.3046e-01	  4.6332e-01	  5.3772e-02	  5.3772e-02	  2.3542e-01	  2.3249e+01	  8.4938e-02	  1.0138e+00	  1.0017e+00	  1.0000e+00	  3.5508e-02	  2.4563e-02	  0.0000e+00	  7.4283e-04	
  5.0000e+00	  6.5386e+00	  2.1134e-07	  4.1267e-04	  1.5225e-05	  1.0751e-03	  2.4635e-03	  2.2106e+03	  2.6589e-01	  6.4165e-01	  8.4645e-01	  9.9694e-01	  3.9451e+00	  1.6340e+01	  1.7391e+00	  1.3069e-01	  4.4625e-01	  5.4173e-02	  5.4173e-02	  2.8743e-01	  2.3197e+01	  1.0570e-01	  1.0138e+00	  1.0027e+00	  1.0000e+00	  3.5677e-02	  3.5474e-02	  0.0000e+00	  7.0664e-04	
  6.0000e+00	  6.5572e+00	  1.6184e-07	  5.8231e-04	  1.5228e-05	  1.2350e-03	  2.9263e-03	  2.4896e+03	  2.4931e-01	  6.1416e-01	  8.3089e-01	  9.9623e-01	  3.8028e+00	  1.6421e+01	  1.7337e+00	  1.3197e-01	  4.2994e-01	  5.4556e-02	  5.4556e-02	  3.3798e-01	  2.3146e+01	  1.2551e-01	  1.0138e+00	  1.0038e+00	  1.0000e+00	  3.5798e-02	  4.6310e-02	  0.0000e+00	  6.7433e-04	
  7.0000e+00	  6.5739e+00	  1.3156e-07	  7.4863e-04	  1.5231e-05	  1.3815e-03	  3.3754e-03	  2.7607e+03	  2.3546e-01	  5.8964e-01	  8.1635e-01	  9.9549e-01	  3.6642e+00	  1.6499e+01	  1.7282e+00	  1.3369e-01	  4.1442e-01	  5.4924e-02	  5.4924e-02	  3.8710e-01	  2.3097e+01	  1.4465e-01	  1.0138e+00	  1.0048e+00	  1.0000e+00	  3.5891e-02	  5.6896e-02	  0.0000e+00	  6.4970e-04	
  8.0000e+00	  6.5885e+00	  1.1121e-07	  9.1045e-04	  1.5235e-05	  1.5168e-03	  3.8094e-03	  3.0247e+03	  2.2368e-01	  5.6760e-01	  8.0272e-01	  9.9471e-01	  3.5292e+00	  1.6575e+01	  1.7228e+00	  1.3557e-01	  3.9969e-01	  5.5276e-02	  5.5276e-02	  4.3487e-01	  2.3049e+01	  1.6321e-01	  1.0138e+00	  1.0058e+00	  1.0000e+00	  3.5966e-02	  6.7196e-02	  0.0000e+00	  6.3256e-04	
