        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.6630e+00	  1.9936e-04	  8.7749e-06	  1.5209e-05	  1.4342e-04	  3.8311e-04	  8.0477e+02	  4.3086e-01	  8.2964e-01	  9.3617e-01	  9.9948e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  2.0235e-01	  6.3057e-01	  5.2525e-02	  5.2525e-02	  2.2457e-01	  2.3259e+01	  6.3838e-02	  1.0025e+00	  1.0000e+00	  1.0000e+00	  6.0491e-03	  5.4476e-05	  0.0000e+00	  4.6441e-04	
  2.0000e+00	  6.5650e+00	  9.6149e-05	  1.1658e-05	  1.5214e-05	  3.3054e-04	  7.7023e-04	  1.2608e+03	  3.5300e-01	  7.5741e-01	  9.0473e-01	  9.9885e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  7.3379e-02	  6.9837e-01	  5.3141e-02	  5.3141e-02	  4.2142e-01	  2.3063e+01	  8.1112e-02	  1.0070e+00	  1.0000e+00	  1.0000e+00	  1.7126e-02	  1.9357e-04	  0.0000e+00	  7.4888e-04	
  3.0000e+00	  6.5108e+00	  2.4180e-05	  1.3863e-05	  1.5219e-05	  4.8096e-04	  1.0455e-03	  1.6419e+03	  3.1033e-01	  7.0620e-01	  8.8028e-01	  9.9818e-01	  4.2876e+00	  1.6119e+01	  1.7488e+00	  4.0753e-02	  7.2881e-01	  5.3803e-02	  5.3803e-02	  5.4262e-01	  2.2941e+01	  8.7371e-02	  1.0102e+00	  1.0000e+00	  1.0000e+00	  2.4873e-02	  3.6907e-04	  0.0000e+00	  9.9119e-04	
  4.0000e+00	  6.4868e+00	  3.0535e-06	  1.5487e-05	  1.5223e-05	  5.6017e-04	  1.1856e-03	  1.9774e+03	  2.8207e-01	  6.6661e-01	  8.5997e-01	  9.9748e-01	  4.1525e+00	  1.6190e+01	  1.7447e+00	  3.2874e-02	  7.4526e-01	  5.4487e-02	  5.4487e-02	  6.0867e-01	  2.2875e+01	  9.5742e-02	  1.0111e+00	  1.0000e+00	  1.0000e+00	  2.7183e-02	  5.6994e-04	  0.0000e+00	  1.2132e-03	
  5.0000e+00	  6.4757e+00	  3.7394e-07	  1.6794e-05	  1.5226e-05	  6.1162e-04	  1.2824e-03	  2.2859e+03	  2.6115e-01	  6.3398e-01	  8.4219e-01	  9.9675e-01	  4.0200e+00	  1.6259e+01	  1.7408e+00	  3.0426e-02	  7.5750e-01	  5.5183e-02	  5.5183e-02	  6.5636e-01	  2.2828e+01	  1.0522e-01	  1.0112e+00	  1.0000e+00	  1.0000e+00	  2.7515e-02	  7.9838e-04	  0.0000e+00	  1.4197e-03	
  6.0000e+00	  6.4698e+00	  9.8227e-08	  1.8094e-05	  1.5230e-05	  6.5906e-04	  1.3778e-03	  2.5762e+03	  2.4467e-01	  6.0611e-01	  8.2618e-01	  9.9600e-01	  3.8900e+00	  1.6327e+01	  1.7369e+00	  2.9231e-02	  7.6841e-01	  5.5891e-02	  5.5891e-02	  7.0098e-01	  2.2783e+01	  1.1467e-01	  1.0112e+00	  1.0000e+00	  1.0000e+00	  2.7574e-02	  1.0549e-03	  0.0000e+00	  1.6129e-03	
  7.0000e+00	  6.4667e+00	  4.6128e-08	  1.9462e-05	  1.5233e-05	  7.0540e-04	  1.4756e-03	  2.8524e+03	  2.3120e-01	  5.8179e-01	  8.1156e-01	  9.9522e-01	  3.7626e+00	  1.6394e+01	  1.7330e+00	  2.8284e-02	  7.7857e-01	  5.6608e-02	  5.6608e-02	  7.4487e-01	  2.2739e+01	  1.2397e-01	  1.0112e+00	  1.0000e+00	  1.0000e+00	  2.7596e-02	  1.3392e-03	  0.0000e+00	  1.7959e-03	
  8.0000e+00	  6.4658e+00	  2.8152e-08	  2.0911e-05	  1.5236e-05	  7.5053e-04	  1.5748e-03	  3.1172e+03	  2.1989e-01	  5.6026e-01	  7.9806e-01	  9.9442e-01	  3.6377e+00	  1.6460e+01	  1.7291e+00	  2.7414e-02	  7.8807e-01	  5.7334e-02	  5.7334e-02	  7.8833e-01	  2.2696e+01	  1.3313e-01	  1.0112e+00	  1.0001e+00	  1.0000e+00	  2.7609e-02	  1.6513e-03	  0.0000e+00	  1.9711e-03	
