          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.77824	  1.0000e+00	  6.6802e+00	  8.0744e-05	  8.8046e-06	  1.4320e-05	  8.5535e-05	  2.6345e-04	  7.9426e+02	  4.3322e-01	  8.3147e-01	  9.3693e-01	  9.9949e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  1.9941e-01	  6.2843e-01	  5.2524e-02	  5.2524e-02	  1.9382e-01	  2.3290e+01	  6.7828e-02	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.8607e-03	  1.3050e-05	  0.0000e+00	  3.2263e-04	  6.4463e-05	  9.9452e-04	  4.5453e-04	  8.6425e-05	  1.5273e-03	  4.6813e-04	  8.5019e-05	  2.6345e-04	  0.0000e+00	  1.3962e-03	
    -6.84894	  2.0000e+00	  6.6049e+00	  8.0692e-05	  1.1551e-05	  1.4325e-05	  1.7694e-04	  4.9110e-04	  1.2389e+03	  3.5593e-01	  7.6059e-01	  9.0618e-01	  9.9889e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  6.9797e-02	  6.9127e-01	  5.3136e-02	  5.3136e-02	  3.3804e-01	  2.3146e+01	  9.1261e-02	  1.0025e+00	  1.0000e+00	  1.0000e+00	  6.0763e-03	  8.9662e-05	  0.0000e+00	  4.7925e-04	  8.1460e-05	  1.5508e-03	  7.1883e-04	  6.9759e-05	  2.5689e-03	  7.5509e-04	  1.0452e-04	  4.9110e-04	  0.0000e+00	  1.3722e-03	
    -6.88603	  3.0000e+00	  6.5568e+00	  8.0648e-05	  1.3835e-05	  1.4329e-05	  2.7932e-04	  7.2809e-04	  1.6181e+03	  3.1261e-01	  7.0919e-01	  8.8176e-01	  9.9822e-01	  4.2874e+00	  1.6119e+01	  1.7489e+00	  4.0083e-02	  7.1879e-01	  5.3789e-02	  5.3789e-02	  4.3752e-01	  2.3046e+01	  9.9650e-02	  1.0046e+00	  1.0000e+00	  1.0000e+00	  1.1224e-02	  2.4360e-04	  0.0000e+00	  6.3561e-04	  9.4826e-05	  2.0363e-03	  9.5312e-04	  6.2797e-05	  3.4885e-03	  9.9356e-04	  1.1847e-04	  7.2809e-04	  0.0000e+00	  1.3721e-03	
    -6.91012	  4.0000e+00	  6.5205e+00	  8.0607e-05	  1.6052e-05	  1.4333e-05	  3.8795e-04	  9.6645e-04	  1.9600e+03	  2.8337e-01	  6.6855e-01	  8.6099e-01	  9.9752e-01	  4.1523e+00	  1.6190e+01	  1.7448e+00	  3.4801e-02	  7.3700e-01	  5.4463e-02	  5.4463e-02	  5.2731e-01	  2.2956e+01	  1.0484e-01	  1.0069e+00	  1.0000e+00	  1.0000e+00	  1.6798e-02	  4.7274e-04	  0.0000e+00	  7.9493e-04	  1.0643e-04	  2.4783e-03	  1.1689e-03	  5.9103e-05	  4.3385e-03	  1.2068e-03	  1.2959e-04	  9.6645e-04	  0.0000e+00	  1.3900e-03	
    -6.92711	  5.0000e+00	  6.4909e+00	  8.0568e-05	  1.8396e-05	  1.4337e-05	  5.0206e-04	  1.2066e-03	  2.2767e+03	  2.6171e-01	  6.3491e-01	  8.4271e-01	  9.9677e-01	  4.0198e+00	  1.6259e+01	  1.7408e+00	  3.3147e-02	  7.5340e-01	  5.5153e-02	  5.5153e-02	  6.1784e-01	  2.2865e+01	  1.0913e-01	  1.0093e+00	  1.0001e+00	  1.0000e+00	  2.2693e-02	  7.7737e-04	  0.0000e+00	  9.5774e-04	  1.1700e-04	  2.8898e-03	  1.3716e-03	  5.6981e-05	  5.1413e-03	  1.4035e-03	  1.3895e-04	  1.2066e-03	  0.0000e+00	  1.4231e-03	
    -6.93959	  6.0000e+00	  6.4654e+00	  8.0532e-05	  2.1026e-05	  1.4341e-05	  6.2155e-04	  1.4494e-03	  2.5748e+03	  2.4474e-01	  6.0623e-01	  8.2626e-01	  9.9600e-01	  3.8899e+00	  1.6327e+01	  1.7369e+00	  3.2001e-02	  7.6914e-01	  5.5859e-02	  5.5859e-02	  7.1058e-01	  2.2772e+01	  1.1288e-01	  1.0118e+00	  1.0001e+00	  1.0000e+00	  2.8878e-02	  1.1588e-03	  0.0000e+00	  1.1239e-03	  1.2688e-04	  3.2783e-03	  1.5643e-03	  5.5766e-05	  5.9088e-03	  1.5882e-03	  1.4709e-04	  1.4494e-03	  0.0000e+00	  1.4694e-03	
    -6.94897	  7.0000e+00	  6.4429e+00	  8.0497e-05	  2.4116e-05	  1.4344e-05	  7.4635e-04	  1.6954e-03	  2.8583e+03	  2.3093e-01	  5.8129e-01	  8.1125e-01	  9.9520e-01	  3.7626e+00	  1.6394e+01	  1.7329e+00	  3.0965e-02	  7.8434e-01	  5.6580e-02	  5.6580e-02	  8.0558e-01	  2.2677e+01	  1.1614e-01	  1.0145e+00	  1.0002e+00	  1.0000e+00	  3.5330e-02	  1.6178e-03	  0.0000e+00	  1.2932e-03	  1.3626e-04	  3.6483e-03	  1.7492e-03	  5.5124e-05	  6.6485e-03	  1.7634e-03	  1.5433e-04	  1.6954e-03	  0.0000e+00	  1.5266e-03	
    -6.95615	  8.0000e+00	  6.4226e+00	  8.0463e-05	  2.7881e-05	  1.4348e-05	  8.7628e-04	  1.9450e-03	  3.1299e+03	  2.1938e-01	  5.5927e-01	  7.9742e-01	  9.9438e-01	  3.6379e+00	  1.6459e+01	  1.7290e+00	  2.9989e-02	  7.9901e-01	  5.7315e-02	  5.7315e-02	  9.0270e-01	  2.2580e+01	  1.1895e-01	  1.0172e+00	  1.0002e+00	  1.0000e+00	  4.2027e-02	  2.1549e-03	  0.0000e+00	  1.4653e-03	  1.4529e-04	  4.0030e-03	  1.9274e-03	  5.4860e-05	  7.3652e-03	  1.9308e-03	  1.6088e-04	  1.9450e-03	  0.0000e+00	  1.5916e-03	
