  Time(hour)	          OC	         NO3	         NO2	         Fe2	         SO4	    Fe(OH)3a	      CH4tot	      CO2tot	       N2tot	       O2tot	      H2Stot	      NaRbio	      FeRbio	      SRAbio	     Methbio	          pH	         fpH	
  0.0000e+00	  2.0000e-02	  1.0000e-02	  5.0000e-04	  1.0000e-04	  3.0000e-03	  0.0000e+00	  0.0000e+00	  1.0000e-03	  0.0000e+00	  2.5000e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.0000e+00	  7.8107e-01	
  2.4074e+00	  1.9998e-02	  9.9979e-03	  5.0191e-04	  9.8276e-05	  3.0150e-03	  6.0000e-03	  9.7528e-11	  1.0019e-03	  1.0821e-07	  1.3228e-06	  5.1270e-08	  2.0125e-05	  2.0005e-05	  2.0017e-05	  2.0006e-05	  6.0700e+00	  8.1158e-01	
  4.8148e+00	  1.9996e-02	  9.9958e-03	  5.0383e-04	  9.8269e-05	  3.0147e-03	  6.0000e-03	  1.9472e-10	  1.0039e-03	  2.1748e-07	  1.3128e-06	  1.0272e-07	  2.0250e-05	  2.0009e-05	  2.0034e-05	  2.0011e-05	  6.0703e+00	  8.1170e-01	
  7.2222e+00	  1.9993e-02	  9.9936e-03	  5.0576e-04	  9.8262e-05	  3.0144e-03	  6.0000e-03	  2.9157e-10	  1.0058e-03	  3.2781e-07	  1.3029e-06	  1.5434e-07	  2.0377e-05	  2.0014e-05	  2.0051e-05	  2.0017e-05	  6.0705e+00	  8.1181e-01	
  9.6296e+00	  1.9991e-02	  9.9915e-03	  5.0771e-04	  9.8254e-05	  3.0141e-03	  6.0000e-03	  3.8807e-10	  1.0078e-03	  4.3922e-07	  1.2931e-06	  2.0614e-07	  2.0504e-05	  2.0018e-05	  2.0069e-05	  2.0022e-05	  6.0708e+00	  8.1193e-01	
  1.2037e+01	  1.9989e-02	  9.9893e-03	  5.0966e-04	  9.8247e-05	  3.0137e-03	  6.0000e-03	  4.8425e-10	  1.0098e-03	  5.5172e-07	  1.2833e-06	  2.5811e-07	  2.0632e-05	  2.0023e-05	  2.0086e-05	  2.0028e-05	  6.0711e+00	  8.1205e-01	
  1.4444e+01	  1.9987e-02	  9.9871e-03	  5.1163e-04	  9.8240e-05	  3.0134e-03	  6.0000e-03	  5.8008e-10	  1.0117e-03	  6.6531e-07	  1.2736e-06	  3.1026e-07	  2.0761e-05	  2.0027e-05	  2.0103e-05	  2.0033e-05	  6.0714e+00	  8.1216e-01	
  1.6852e+01	  1.9984e-02	  9.9850e-03	  5.1361e-04	  9.8232e-05	  3.0131e-03	  6.0000e-03	  6.7557e-10	  1.0137e-03	  7.8001e-07	  1.2639e-06	  3.6259e-07	  2.0890e-05	  2.0032e-05	  2.0121e-05	  2.0039e-05	  6.0717e+00	  8.1228e-01	
  1.9259e+01	  1.9982e-02	  9.9827e-03	  5.1560e-04	  9.8225e-05	  3.0128e-03	  6.0000e-03	  7.7073e-10	  1.0157e-03	  8.9583e-07	  1.2542e-06	  4.1510e-07	  2.1021e-05	  2.0036e-05	  2.0138e-05	  2.0045e-05	  6.0719e+00	  8.1240e-01	
  2.1667e+01	  1.9980e-02	  9.9805e-03	  5.1760e-04	  9.8218e-05	  3.0124e-03	  6.0000e-03	  8.6555e-10	  1.0178e-03	  1.0128e-06	  1.2446e-06	  4.6778e-07	  2.1152e-05	  2.0041e-05	  2.0156e-05	  2.0050e-05	  6.0722e+00	  8.1251e-01	
  2.4074e+01	  1.9977e-02	  9.9783e-03	  5.1961e-04	  9.8210e-05	  3.0121e-03	  6.0000e-03	  9.6003e-10	  1.0198e-03	  1.1309e-06	  1.2351e-06	  5.2064e-07	  2.1285e-05	  2.0045e-05	  2.0174e-05	  2.0056e-05	  6.0725e+00	  8.1263e-01	
