        Time	          pH	          SC	          IC	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
  0.0000e+00	  7.0361e+00	  9.3397e+01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  7.0361e+00	  9.3397e+01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  7.7377e+00	  1.1007e+04	  5.5572e-01	  4.1351e+00	  1.6200e+01	  1.7654e+00	  3.7381e-02	  6.7765e-01	  5.4885e-02	  5.4885e-02	  2.2928e+01	  0.0000e+00	  2.1034e-01	  1.0416e-03	  1.2738e-03	
  1.0000e+01	  8.4857e+00	  1.8065e+04	  7.8936e-01	  3.6027e+00	  1.6480e+01	  1.7630e+00	  3.2590e-02	  6.9737e-01	  5.8044e-02	  5.8044e-02	  2.2695e+01	  1.9408e-03	  4.0913e-01	  1.0437e-03	  0.0000e+00	
  1.5000e+01	  9.7794e+00	  2.3686e+04	  1.0074e+00	  3.1133e+00	  1.6739e+01	  1.7607e+00	  2.9580e-02	  7.0901e-01	  6.1265e-02	  6.1265e-02	  2.2477e+01	  1.9970e-03	  5.7146e-01	  1.0440e-03	  0.0000e+00	
  2.0000e+01	  1.0464e+01	  2.8333e+04	  1.2099e+00	  2.6686e+00	  1.6975e+01	  1.7585e+00	  2.6910e-02	  7.1340e-01	  6.4509e-02	  6.4509e-02	  2.2274e+01	  1.9993e-03	  7.0848e-01	  1.0440e-03	  0.0000e+00	
  2.5000e+01	  1.0811e+01	  3.2215e+04	  1.3961e+00	  2.2695e+00	  1.7188e+01	  1.7565e+00	  2.4512e-02	  7.1108e-01	  6.7742e-02	  6.7742e-02	  2.2088e+01	  1.9997e-03	  8.2520e-01	  1.0440e-03	  0.0000e+00	
  3.0000e+01	  1.1000e+01	  3.5457e+04	  1.5660e+00	  1.9158e+00	  1.7378e+01	  1.7545e+00	  2.2347e-02	  7.0265e-01	  7.0932e-02	  7.0932e-02	  2.1918e+01	  1.9997e-03	  9.2466e-01	  1.0440e-03	  0.0000e+00	
  3.5000e+01	  1.1113e+01	  3.8166e+04	  1.7196e+00	  1.6062e+00	  1.7545e+01	  1.7525e+00	  2.0391e-02	  6.8883e-01	  7.4051e-02	  7.4051e-02	  2.1764e+01	  1.9998e-03	  1.0094e+00	  1.0440e-03	  0.0000e+00	
  4.0000e+01	  1.1187e+01	  4.0436e+04	  1.8576e+00	  1.3385e+00	  1.7691e+01	  1.7505e+00	  1.8629e-02	  6.7038e-01	  7.7073e-02	  7.7073e-02	  2.1626e+01	  1.9998e-03	  1.0816e+00	  1.0440e-03	  0.0000e+00	
