        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7868e-06	  1.4320e-05	  6.6805e-05	  2.0836e-04	  7.8963e+02	  4.3426e-01	  8.3228e-01	  9.3726e-01	  9.9949e-01	  4.5527e+00	  1.5980e+01	  1.7686e+00	  2.6696e-01	  6.2030e-01	  5.2519e-02	  5.2519e-02	  1.8148e-01	  2.3302e+01	  5.4800e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.1013e-06	  0.0000e+00	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8574e-04	  4.5053e-04	  8.4353e-05	  1.5316e-03	  4.7065e-04	  8.4674e-05	  2.0836e-04	  0.0000e+00	  1.3939e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1222e-05	  1.4325e-05	  1.1350e-04	  3.2673e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.3996e+00	  1.6059e+01	  1.7695e+00	  1.1095e-01	  6.9300e-01	  5.3126e-02	  5.3126e-02	  3.3079e-01	  2.3153e+01	  1.0357e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.7005e-05	  0.0000e+00	  0.0000e+00	  4.7590e-04	  8.0886e-05	  1.5268e-03	  7.0784e-04	  6.3814e-05	  2.5813e-03	  7.6366e-04	  1.0380e-04	  3.2673e-04	  0.0000e+00	  1.3575e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2854e-05	  1.4329e-05	  1.5815e-04	  4.3931e-04	  1.5991e+03	  3.1447e-01	  7.1160e-01	  8.8295e-01	  9.9826e-01	  4.2502e+00	  1.6136e+01	  1.7698e+00	  5.0298e-02	  7.2750e-01	  5.3786e-02	  5.3786e-02	  4.2092e-01	  2.3063e+01	  1.5452e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.1953e-05	  0.0000e+00	  0.0000e+00	  6.3016e-04	  9.4004e-05	  1.9969e-03	  9.3504e-04	  5.2988e-05	  3.5089e-03	  1.0097e-03	  1.1747e-04	  4.3931e-04	  0.0000e+00	  1.3324e-03	
  4.0000e+00	  6.5824e+00	  8.0611e-05	  1.4080e-05	  1.4333e-05	  2.0084e-04	  5.4817e-04	  1.9346e+03	  2.8531e-01	  6.7141e-01	  8.6250e-01	  9.9757e-01	  4.1040e+00	  1.6211e+01	  1.7700e+00	  3.6768e-02	  7.4330e-01	  5.4468e-02	  5.4468e-02	  4.8093e-01	  2.3002e+01	  2.0619e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1233e-04	  0.0000e+00	  0.0000e+00	  7.8741e-04	  1.0541e-04	  2.4245e-03	  1.1442e-03	  4.5766e-05	  4.3660e-03	  1.2314e-03	  1.2838e-04	  5.4817e-04	  0.0000e+00	  1.3133e-03	
  5.0000e+00	  6.5725e+00	  8.0573e-05	  1.5051e-05	  1.4337e-05	  2.4171e-04	  6.5432e-04	  2.2455e+03	  2.6367e-01	  6.3808e-01	  8.4447e-01	  9.9685e-01	  3.9609e+00	  1.6285e+01	  1.7702e+00	  3.3603e-02	  7.5408e-01	  5.5162e-02	  5.5162e-02	  5.3402e-01	  2.2949e+01	  2.5803e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.7821e-04	  0.0000e+00	  0.0000e+00	  9.4817e-04	  1.1581e-04	  2.8227e-03	  1.3408e-03	  4.0417e-05	  5.1750e-03	  1.4376e-03	  1.3758e-04	  6.5432e-04	  0.0000e+00	  1.2980e-03	
  6.0000e+00	  6.5668e+00	  8.0538e-05	  1.5847e-05	  1.4340e-05	  2.8088e-04	  7.5832e-04	  2.5382e+03	  2.4668e-01	  6.0961e-01	  8.2824e-01	  9.9610e-01	  3.8211e+00	  1.6358e+01	  1.7703e+00	  3.2144e-02	  7.6304e-01	  5.5865e-02	  5.5865e-02	  5.8567e-01	  2.2897e+01	  3.0991e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.5978e-04	  0.0000e+00	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1985e-03	  1.5280e-03	  3.6222e-05	  5.9479e-03	  1.6328e-03	  1.4560e-04	  7.5832e-04	  0.0000e+00	  1.2853e-03	
  7.0000e+00	  6.5638e+00	  8.0504e-05	  1.6513e-05	  1.4344e-05	  3.1845e-04	  8.6053e-04	  2.8167e+03	  2.3284e-01	  5.8482e-01	  8.1342e-01	  9.9533e-01	  3.6843e+00	  1.6428e+01	  1.7705e+00	  3.1004e-02	  7.7076e-01	  5.6576e-02	  5.6576e-02	  6.3672e-01	  2.2846e+01	  3.6174e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.5721e-04	  0.0000e+00	  0.0000e+00	  1.2796e-03	  1.3480e-04	  3.5567e-03	  1.7077e-03	  3.2816e-05	  6.6924e-03	  1.8196e-03	  1.5274e-04	  8.6053e-04	  0.0000e+00	  1.2747e-03	
  8.0000e+00	  6.5627e+00	  8.0471e-05	  1.7082e-05	  1.4347e-05	  3.5456e-04	  9.6120e-04	  3.0836e+03	  2.2125e-01	  5.6290e-01	  7.9975e-01	  9.9453e-01	  3.5507e+00	  1.6498e+01	  1.7706e+00	  2.9972e-02	  7.7738e-01	  5.7293e-02	  5.7293e-02	  6.8726e-01	  2.2795e+01	  4.1345e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.7059e-04	  0.0000e+00	  0.0000e+00	  1.4497e-03	  1.4371e-04	  3.9001e-03	  1.8811e-03	  2.9982e-05	  7.4133e-03	  1.9997e-03	  1.5921e-04	  9.6120e-04	  0.0000e+00	  1.2655e-03	
