        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6874e+00	  8.0748e-05	  7.8090e-06	  1.4319e-05	  6.6961e-05	  2.0841e-04	  7.8360e+02	  4.3564e-01	  8.3334e-01	  9.3770e-01	  9.9950e-01	  4.5525e+00	  1.5980e+01	  1.7645e+00	  2.8095e-01	  5.6852e-01	  5.2495e-02	  5.2495e-02	  2.2395e-01	  2.3260e+01	  5.3602e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.0508e-06	  2.6547e-07	  0.0000e+00	  3.2014e-04	  6.3943e-05	  9.7682e-04	  4.3811e-04	  8.4954e-05	  1.8252e-03	  2.8355e-04	  8.4274e-05	  2.0841e-04	  0.0000e+00	  1.4058e-03	
  2.0000e+00	  6.6266e+00	  8.0699e-05	  9.9734e-06	  1.4324e-05	  1.1382e-04	  3.2625e-04	  1.2292e+03	  3.5724e-01	  7.6199e-01	  9.0682e-01	  9.9890e-01	  4.3988e+00	  1.6059e+01	  1.7624e+00	  1.3948e-01	  5.9114e-01	  5.3024e-02	  5.3024e-02	  4.1339e-01	  2.3070e+01	  9.8470e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.0609e-05	  1.7160e-06	  0.0000e+00	  4.7587e-04	  8.0854e-05	  1.5260e-03	  6.8928e-04	  6.3897e-05	  3.0833e-03	  4.5765e-04	  1.0365e-04	  3.2625e-04	  0.0000e+00	  1.3737e-03	
  3.0000e+00	  6.5961e+00	  8.0656e-05	  1.1433e-05	  1.4328e-05	  1.5858e-04	  4.3816e-04	  1.6121e+03	  3.1319e-01	  7.0995e-01	  8.8213e-01	  9.9823e-01	  4.2487e+00	  1.6135e+01	  1.7607e+00	  7.2990e-02	  5.9785e-01	  5.3566e-02	  5.3566e-02	  5.4162e-01	  2.2942e+01	  1.4360e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.3713e-05	  4.9577e-06	  0.0000e+00	  6.3163e-04	  9.4193e-05	  2.0079e-03	  9.1190e-04	  5.2863e-05	  4.1923e-03	  6.0343e-04	  1.1756e-04	  4.3816e-04	  0.0000e+00	  1.3520e-03	
  4.0000e+00	  6.5787e+00	  8.0616e-05	  1.2536e-05	  1.4332e-05	  2.0137e-04	  5.4627e-04	  1.9592e+03	  2.8343e-01	  6.6864e-01	  8.6104e-01	  9.9752e-01	  4.1020e+00	  1.6210e+01	  1.7590e+00	  5.1721e-02	  5.9672e-01	  5.4110e-02	  5.4110e-02	  6.3078e-01	  2.2853e+01	  1.8839e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.4965e-05	  1.0319e-05	  0.0000e+00	  7.9058e-04	  1.0581e-04	  2.4489e-03	  1.1172e-03	  4.5537e-05	  5.2161e-03	  7.3468e-04	  1.2868e-04	  5.4627e-04	  0.0000e+00	  1.3360e-03	
  5.0000e+00	  6.5683e+00	  8.0578e-05	  1.3419e-05	  1.4336e-05	  2.4228e-04	  6.5159e-04	  2.2821e+03	  2.6138e-01	  6.3437e-01	  8.4240e-01	  9.9676e-01	  3.9587e+00	  1.6284e+01	  1.7574e+00	  4.5828e-02	  5.9273e-01	  5.4650e-02	  5.4650e-02	  7.0591e-01	  2.2777e+01	  2.3261e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1390e-04	  1.7988e-05	  0.0000e+00	  9.5322e-04	  1.1640e-04	  2.8613e-03	  1.3104e-03	  4.0128e-05	  6.1819e-03	  8.5673e-04	  1.3807e-04	  6.5159e-04	  0.0000e+00	  1.3238e-03	
  6.0000e+00	  6.5623e+00	  8.0542e-05	  1.4149e-05	  1.4340e-05	  2.8143e-04	  7.5468e-04	  2.5870e+03	  2.4411e-01	  6.0512e-01	  8.2560e-01	  9.9597e-01	  3.8188e+00	  1.6355e+01	  1.7558e+00	  4.3913e-02	  5.8763e-01	  5.5186e-02	  5.5186e-02	  7.7673e-01	  2.2706e+01	  2.7615e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6011e-04	  2.8078e-05	  0.0000e+00	  1.1194e-03	  1.2631e-04	  3.2519e-03	  1.4944e-03	  3.5895e-05	  7.1045e-03	  9.7225e-04	  1.4625e-04	  7.5468e-04	  0.0000e+00	  1.3144e-03	
  7.0000e+00	  6.5592e+00	  8.0508e-05	  1.4770e-05	  1.4343e-05	  3.1892e-04	  8.5589e-04	  2.8777e+03	  2.3006e-01	  5.7966e-01	  8.1025e-01	  9.9515e-01	  3.6822e+00	  1.6425e+01	  1.7543e+00	  4.2960e-02	  5.8190e-01	  5.5715e-02	  5.5715e-02	  8.4576e-01	  2.2637e+01	  3.1898e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.1320e-04	  4.0652e-05	  0.0000e+00	  1.2888e-03	  1.3574e-04	  3.6250e-03	  1.6711e-03	  3.2460e-05	  7.9932e-03	  1.0828e-03	  1.5355e-04	  8.5589e-04	  0.0000e+00	  1.3074e-03	
  8.0000e+00	  6.5580e+00	  8.0475e-05	  1.5308e-05	  1.4346e-05	  3.5486e-04	  9.5547e-04	  3.1569e+03	  2.1831e-01	  5.5717e-01	  7.9608e-01	  9.9430e-01	  3.5491e+00	  1.6493e+01	  1.7527e+00	  4.2247e-02	  5.7574e-01	  5.6238e-02	  5.6238e-02	  9.1354e-01	  2.2569e+01	  3.6107e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.7281e-04	  5.5739e-05	  0.0000e+00	  1.4611e-03	  1.4482e-04	  3.9836e-03	  1.8417e-03	  2.9604e-05	  8.8537e-03	  1.1894e-03	  1.6015e-04	  9.5547e-04	  0.0000e+00	  1.3021e-03	
