        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6531e-06	  1.4319e-05	  6.7144e-05	  2.0848e-04	  7.7753e+02	  4.3704e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5592e+00	  1.5977e+01	  1.7686e+00	  2.6332e-01	  6.2527e-01	  5.2521e-02	  5.2521e-02	  1.7688e-01	  2.3307e+01	  5.4250e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.0804e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6795e-04	  4.2566e-04	  8.5622e-05	  2.1197e-03	  9.5996e-05	  8.3876e-05	  2.0848e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4923e-06	  1.4324e-05	  1.1423e-04	  3.2590e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.4184e+00	  1.6050e+01	  1.7694e+00	  1.0349e-01	  7.0424e-01	  5.3137e-02	  5.3137e-02	  3.1751e-01	  2.3166e+01	  1.0222e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.7006e-05	  0.0000e+00	  0.0000e+00	  4.7599e-04	  8.0846e-05	  1.5262e-03	  6.7096e-04	  6.4015e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2590e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5926e+00	  8.0660e-05	  9.7352e-06	  1.4328e-05	  1.5927e-04	  4.3744e-04	  1.6266e+03	  3.1180e-01	  7.0813e-01	  8.8123e-01	  9.9821e-01	  4.2849e+00	  1.6119e+01	  1.7698e+00	  4.3695e-02	  7.4081e-01	  5.3809e-02	  5.3809e-02	  3.9653e-01	  2.3087e+01	  1.5223e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.2079e-05	  0.0000e+00	  0.0000e+00	  6.3339e-04	  9.4426e-05	  2.0210e-03	  8.8929e-04	  5.2781e-05	  4.8722e-03	  2.0114e-04	  1.1771e-04	  4.3744e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5743e+00	  8.0620e-05	  1.0674e-05	  1.4332e-05	  2.0239e-04	  5.4527e-04	  1.9860e+03	  2.8142e-01	  6.6565e-01	  8.5946e-01	  9.9746e-01	  4.1574e+00	  1.6185e+01	  1.7699e+00	  3.1059e-02	  7.5692e-01	  5.4504e-02	  5.4504e-02	  4.4576e-01	  2.3038e+01	  2.0271e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1256e-04	  0.0000e+00	  0.0000e+00	  7.9420e-04	  1.0626e-04	  2.4766e-03	  1.0910e-03	  4.5375e-05	  6.0601e-03	  2.4430e-04	  1.2906e-04	  5.4527e-04	  0.0000e+00	  1.3582e-03	
  5.0000e+00	  6.5634e+00	  8.0583e-05	  1.1420e-05	  1.4336e-05	  2.4370e-04	  6.5041e-04	  2.3217e+03	  2.5897e-01	  6.3041e-01	  8.4018e-01	  9.9666e-01	  4.0351e+00	  1.6248e+01	  1.7700e+00	  2.7925e-02	  7.6795e-01	  5.5212e-02	  5.5212e-02	  4.8789e-01	  2.2995e+01	  2.5318e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.7846e-04	  0.0000e+00	  0.0000e+00	  9.5885e-04	  1.1706e-04	  2.9045e-03	  1.2811e-03	  3.9938e-05	  7.1803e-03	  2.8449e-04	  1.3865e-04	  6.5041e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5568e+00	  8.0546e-05	  1.2032e-05	  1.4339e-05	  2.8329e-04	  7.5343e-04	  2.6395e+03	  2.4141e-01	  6.0036e-01	  8.2278e-01	  9.9583e-01	  3.9176e+00	  1.6310e+01	  1.7701e+00	  2.6303e-02	  7.7725e-01	  5.5929e-02	  5.5929e-02	  5.2787e-01	  2.2955e+01	  3.0354e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.5991e-04	  0.0000e+00	  0.0000e+00	  1.1272e-03	  1.2716e-04	  3.3109e-03	  1.4622e-03	  3.5701e-05	  8.2504e-03	  3.2257e-04	  1.4701e-04	  7.5343e-04	  0.0000e+00	  1.3366e-03	
  7.0000e+00	  6.5531e+00	  8.0511e-05	  1.2546e-05	  1.4342e-05	  3.2130e-04	  8.5469e-04	  2.9432e+03	  2.2716e-01	  5.7422e-01	  8.0688e-01	  9.9495e-01	  3.8045e+00	  1.6369e+01	  1.7703e+00	  2.5020e-02	  7.8539e-01	  5.6654e-02	  5.6654e-02	  5.6651e-01	  2.2916e+01	  3.5373e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.5706e-04	  0.0000e+00	  0.0000e+00	  1.2989e-03	  1.3678e-04	  3.7003e-03	  1.6363e-03	  3.2276e-05	  9.2810e-03	  3.5906e-04	  1.5447e-04	  8.5469e-04	  0.0000e+00	  1.3284e-03	
  8.0000e+00	  6.5515e+00	  8.0478e-05	  1.2984e-05	  1.4346e-05	  3.5783e-04	  9.5443e-04	  3.2353e+03	  2.1527e-01	  5.5117e-01	  7.9219e-01	  9.9405e-01	  3.6953e+00	  1.6426e+01	  1.7704e+00	  2.3899e-02	  7.9254e-01	  5.7386e-02	  5.7386e-02	  6.0400e-01	  2.2879e+01	  4.0377e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.7001e-04	  0.0000e+00	  0.0000e+00	  1.4735e-03	  1.4603e-04	  4.0752e-03	  1.8044e-03	  2.9438e-05	  1.0279e-02	  3.9429e-04	  1.6122e-04	  9.5443e-04	  0.0000e+00	  1.3213e-03	
