        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6531e-06	  1.4319e-05	  6.7147e-05	  2.0849e-04	  7.7753e+02	  4.3703e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5534e+00	  1.5980e+01	  1.7688e+00	  2.6615e-01	  6.2408e-01	  5.2521e-02	  5.2521e-02	  1.7701e-01	  2.3307e+01	  5.8109e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.4198e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6795e-04	  4.2566e-04	  8.5622e-05	  2.1197e-03	  9.5996e-05	  8.3876e-05	  2.0849e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4923e-06	  1.4324e-05	  1.1425e-04	  3.2595e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.4017e+00	  1.6059e+01	  1.7697e+00	  1.0912e-01	  7.0164e-01	  5.3134e-02	  5.3134e-02	  3.1958e-01	  2.3164e+01	  1.1401e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.9208e-05	  0.0000e+00	  0.0000e+00	  4.7600e-04	  8.0847e-05	  1.5262e-03	  6.7096e-04	  6.4017e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2595e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5925e+00	  8.0660e-05	  9.7353e-06	  1.4328e-05	  1.5934e-04	  4.3761e-04	  1.6266e+03	  3.1180e-01	  7.0813e-01	  8.8123e-01	  9.9821e-01	  4.2541e+00	  1.6136e+01	  1.7701e+00	  4.9052e-02	  7.3771e-01	  5.3803e-02	  5.3803e-02	  4.0356e-01	  2.3080e+01	  1.7504e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.8827e-05	  0.0000e+00	  0.0000e+00	  6.3339e-04	  9.4427e-05	  2.0210e-03	  8.8931e-04	  5.2787e-05	  4.8722e-03	  2.0114e-04	  1.1771e-04	  4.3761e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5743e+00	  8.0620e-05	  1.0674e-05	  1.4332e-05	  2.0255e-04	  5.4563e-04	  1.9861e+03	  2.8142e-01	  6.6565e-01	  8.5946e-01	  9.9746e-01	  4.1101e+00	  1.6211e+01	  1.7703e+00	  3.6111e-02	  7.5308e-01	  5.4495e-02	  5.4495e-02	  4.5865e-01	  2.3025e+01	  2.3887e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.2736e-04	  0.0000e+00	  0.0000e+00	  7.9420e-04	  1.0626e-04	  2.4767e-03	  1.0911e-03	  4.5386e-05	  6.0600e-03	  2.4430e-04	  1.2906e-04	  5.4563e-04	  0.0000e+00	  1.3582e-03	
  5.0000e+00	  6.5632e+00	  8.0583e-05	  1.1421e-05	  1.4336e-05	  2.4397e-04	  6.5104e-04	  2.3217e+03	  2.5897e-01	  6.3041e-01	  8.4018e-01	  9.9666e-01	  3.9695e+00	  1.6286e+01	  1.7705e+00	  3.3181e-02	  7.6297e-01	  5.5199e-02	  5.5199e-02	  5.0703e-01	  2.2976e+01	  3.0446e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.0535e-04	  0.0000e+00	  0.0000e+00	  9.5886e-04	  1.1706e-04	  2.9045e-03	  1.2811e-03	  3.9956e-05	  7.1803e-03	  2.8448e-04	  1.3865e-04	  6.5104e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5566e+00	  8.0546e-05	  1.2034e-05	  1.4339e-05	  2.8375e-04	  7.5443e-04	  2.6395e+03	  2.4141e-01	  6.0035e-01	  8.2278e-01	  9.9583e-01	  3.8322e+00	  1.6358e+01	  1.7706e+00	  3.1849e-02	  7.7091e-01	  5.5910e-02	  5.5910e-02	  5.5375e-01	  2.2929e+01	  3.7140e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.0339e-04	  0.0000e+00	  0.0000e+00	  1.1272e-03	  1.2717e-04	  3.3111e-03	  1.4623e-03	  3.5727e-05	  8.2503e-03	  3.2257e-04	  1.4701e-04	  7.5443e-04	  0.0000e+00	  1.3366e-03	
  7.0000e+00	  6.5529e+00	  8.0511e-05	  1.2549e-05	  1.4342e-05	  3.2198e-04	  8.5616e-04	  2.9433e+03	  2.2716e-01	  5.7421e-01	  8.0687e-01	  9.9495e-01	  3.6981e+00	  1.6429e+01	  1.7708e+00	  3.0810e-02	  7.7753e-01	  5.6628e-02	  5.6628e-02	  5.9958e-01	  2.2883e+01	  4.3942e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.2198e-04	  0.0000e+00	  0.0000e+00	  1.2989e-03	  1.3678e-04	  3.7005e-03	  1.6364e-03	  3.2312e-05	  9.2809e-03	  3.5906e-04	  1.5447e-04	  8.5616e-04	  0.0000e+00	  1.3283e-03	
  8.0000e+00	  6.5511e+00	  8.0478e-05	  1.2989e-05	  1.4346e-05	  3.5880e-04	  9.5648e-04	  3.2355e+03	  2.1526e-01	  5.5116e-01	  7.9218e-01	  9.9405e-01	  3.5673e+00	  1.6499e+01	  1.7709e+00	  2.9872e-02	  7.8297e-01	  5.7352e-02	  5.7352e-02	  6.4465e-01	  2.2838e+01	  5.0832e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  5.6151e-04	  0.0000e+00	  0.0000e+00	  1.4736e-03	  1.4604e-04	  4.0755e-03	  1.8045e-03	  2.9484e-05	  1.0279e-02	  3.9428e-04	  1.6122e-04	  9.5648e-04	  0.0000e+00	  1.3212e-03	
