        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6874e+00	  8.0748e-05	  7.8097e-06	  1.4319e-05	  6.6982e-05	  2.0848e-04	  7.8360e+02	  4.3564e-01	  8.3334e-01	  9.3770e-01	  9.9950e-01	  4.5554e+00	  1.5980e+01	  1.7659e+00	  2.6940e-01	  6.1987e-01	  5.2519e-02	  5.2519e-02	  1.7682e-01	  2.3307e+01	  6.8306e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.3151e-06	  7.6791e-07	  0.0000e+00	  3.2014e-04	  6.3943e-05	  9.7682e-04	  4.3811e-04	  8.4956e-05	  1.8252e-03	  2.8353e-04	  8.4274e-05	  2.0848e-04	  0.0000e+00	  1.4059e-03	
  2.0000e+00	  6.6266e+00	  8.0699e-05	  9.9808e-06	  1.4324e-05	  1.1395e-04	  3.2663e-04	  1.2292e+03	  3.5724e-01	  7.6200e-01	  9.0682e-01	  9.9890e-01	  4.4062e+00	  1.6059e+01	  1.7648e+00	  1.1341e-01	  6.9269e-01	  5.3126e-02	  5.3126e-02	  3.2006e-01	  2.3164e+01	  1.3711e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.7872e-05	  6.1454e-06	  0.0000e+00	  4.7587e-04	  8.0854e-05	  1.5260e-03	  6.8928e-04	  6.3904e-05	  3.0833e-03	  4.5750e-04	  1.0365e-04	  3.2663e-04	  0.0000e+00	  1.3746e-03	
  3.0000e+00	  6.5961e+00	  8.0656e-05	  1.1460e-05	  1.4328e-05	  1.5901e-04	  4.3928e-04	  1.6121e+03	  3.1320e-01	  7.0995e-01	  8.8214e-01	  9.9823e-01	  4.2611e+00	  1.6136e+01	  1.7637e+00	  5.1764e-02	  7.2460e-01	  5.3784e-02	  5.3784e-02	  4.0602e-01	  2.3077e+01	  2.1159e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.3825e-05	  2.0220e-05	  0.0000e+00	  6.3163e-04	  9.4193e-05	  2.0079e-03	  9.1187e-04	  5.2880e-05	  4.1923e-03	  6.0295e-04	  1.1756e-04	  4.3928e-04	  0.0000e+00	  1.3551e-03	
  4.0000e+00	  6.5785e+00	  8.0616e-05	  1.2606e-05	  1.4332e-05	  2.0228e-04	  5.4862e-04	  1.9591e+03	  2.8344e-01	  6.6865e-01	  8.6104e-01	  9.9752e-01	  4.1196e+00	  1.6212e+01	  1.7627e+00	  3.7973e-02	  7.3561e-01	  5.4460e-02	  5.4460e-02	  4.6266e-01	  2.3021e+01	  2.8845e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1517e-04	  4.5802e-05	  0.0000e+00	  7.9058e-04	  1.0581e-04	  2.4489e-03	  1.1171e-03	  4.5567e-05	  5.2161e-03	  7.3367e-04	  1.2868e-04	  5.4862e-04	  0.0000e+00	  1.3430e-03	
  5.0000e+00	  6.5681e+00	  8.0578e-05	  1.3556e-05	  1.4336e-05	  2.4391e-04	  6.5571e-04	  2.2819e+03	  2.6139e-01	  6.3438e-01	  8.4241e-01	  9.9676e-01	  3.9812e+00	  1.6286e+01	  1.7616e+00	  3.4952e-02	  7.4111e-01	  5.5144e-02	  5.5144e-02	  5.1226e-01	  2.2971e+01	  3.6634e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.8151e-04	  8.4869e-05	  0.0000e+00	  9.5321e-04	  1.1640e-04	  2.8613e-03	  1.3103e-03	  4.0175e-05	  6.1819e-03	  8.5495e-04	  1.3807e-04	  6.5571e-04	  0.0000e+00	  1.3369e-03	
  6.0000e+00	  6.5619e+00	  8.0542e-05	  1.4386e-05	  1.4340e-05	  2.8401e-04	  7.6114e-04	  2.5868e+03	  2.4412e-01	  6.0514e-01	  8.2561e-01	  9.9597e-01	  3.8460e+00	  1.6359e+01	  1.7606e+00	  3.3730e-02	  7.4488e-01	  5.5832e-02	  5.5832e-02	  5.6020e-01	  2.2923e+01	  4.4475e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.6265e-04	  1.3901e-04	  0.0000e+00	  1.1194e-03	  1.2631e-04	  3.2519e-03	  1.4942e-03	  3.5959e-05	  7.1046e-03	  9.6944e-04	  1.4625e-04	  7.6114e-04	  0.0000e+00	  1.3361e-03	
  7.0000e+00	  6.5586e+00	  8.0508e-05	  1.5144e-05	  1.4343e-05	  3.2272e-04	  8.6531e-04	  2.8774e+03	  2.3007e-01	  5.7968e-01	  8.1026e-01	  9.9515e-01	  3.7139e+00	  1.6430e+01	  1.7596e+00	  3.2825e-02	  7.4762e-01	  5.6522e-02	  5.6522e-02	  6.0740e-01	  2.2875e+01	  5.2341e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.5840e-04	  2.0952e-04	  0.0000e+00	  1.2888e-03	  1.3574e-04	  3.6250e-03	  1.6707e-03	  3.2544e-05	  7.9932e-03	  1.0787e-03	  1.5354e-04	  8.6531e-04	  0.0000e+00	  1.3402e-03	
  8.0000e+00	  6.5572e+00	  8.0475e-05	  1.5864e-05	  1.4346e-05	  3.6014e-04	  9.6848e-04	  3.1565e+03	  2.1832e-01	  5.5720e-01	  7.9610e-01	  9.9430e-01	  3.5849e+00	  1.6500e+01	  1.7585e+00	  3.2007e-02	  7.4948e-01	  5.7214e-02	  5.7214e-02	  6.5397e-01	  2.2829e+01	  6.0215e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.6856e-04	  2.9746e-04	  0.0000e+00	  1.4611e-03	  1.4481e-04	  3.9835e-03	  1.8412e-03	  2.9709e-05	  8.8538e-03	  1.1837e-03	  1.6015e-04	  9.6848e-04	  0.0000e+00	  1.3488e-03	
