salinity,rate
0.144,58.321 
0.371,79.357 
0.38,136.710 
0.304,88.303 
0.239,128.329 
0.431,66.982 
0.255,175.425 
0.31,68.804 
0.784,50.863 
0.489,136.879 
0.402,87.104 
0.329,163.437 
0.591,100.143 
1.164,96.743 
0.97,70.103 
1.018,80.347 
4.49,67.342 
1.313,63.398 
2.76,93.367 
5.06,91.406 
1.859,61.300 
1.75,74.167 
2.44,80.515 
2.24,130.190 
4.16,112.223 
6.94,101.063 
1.865,118.640 
6.74,86.356 
3.41,88.160 
5.27,101.423 
3.84,76.116 
3.33,52.687 
5.48,72.646 
9.75,32.010 
13.65,113.404 
7.05,102.717 
10.85,91.251 
