salinity,rate
0.144,20.280 
0.371,40.304 
0.38,46.383 
0.304,42.518 
0.239,43.402 
0.431,45.804 
0.255,36.948 
0.31,41.762 
0.784,20.786 
0.489,32.596 
0.402,54.069 
0.329,82.335 
0.591,63.949 
1.164,49.679 
0.97,33.416 
1.018,20.331 
4.49,20.237 
1.313,30.999 
2.76,30.542 
5.06,13.349 
1.859,27.435 
1.75,30.486 
2.44,20.544 
2.24,20.414 
4.16,18.864 
6.94,12.039 
1.865,34.988 
6.74,14.974 
3.41,20.054 
5.27,31.426 
3.84,39.373 
3.33,39.262 
5.48,75.909 
9.75,15.157 
13.65,8.366 
7.05,59.110 
10.85,18.767 
