salinity,rate
1.630434783,11.5483871
2.445652174,12.06451613
2.690217391,11.16129032
2.201086957,10.70967742
1.467391304,10.70967742
1.467391304,12
3.994565217,11.03225806
4.239130435,10.32258065
5.625,9.35483871
5.380434783,10.12903226
5.217391304,10.77419355
6.032608696,11.03225806
5.869565217,11.5483871
6.277173913,10.19354839
6.929347826,9.225806452
4.320652174,9.096774194
4.565217391,8.516129032
4.891304348,8.064516129
8.152173913,6.387096774
9.048913043,6.838709677
11.90217391,7.096774194
12.06521739,7.548387097
12.7173913,6.516129032
13.77717391,7.161290323
13.94021739,6.709677419
15,6.903225806
15.32608696,7.677419355
15.81521739,8.064516129
16.4673913,8.451612903
17.60869565,8.129032258
17.85326087,8.516129032
18.75,8.258064516
16.30434783,7.161290323
22.01086957,5.935483871
22.33695652,5.161290323
26.33152174,3.741935484
25.8423913,2.774193548
27.14673913,1.806451613
27.47282609,2.387096774
27.96195652,1.870967742
