salinity,rate
1.50,275.98
1.83,291.06
1.42,297.77
1.69,311.17
1.82,326.26
1.96,343.02
2.43,369.83
2.71,321.23
4.00,319.55
3.87,282.68
4.27,291.06
5.22,311.17
5.96,329.61
6.29,351.40
6.09,371.51
4.93,384.92
4.80,364.80
4.53,353.07
5.55,354.75
5.28,341.34
4.70,183.80
4.23,165.36
4.38,140.22
6.86,235.75
6.72,254.19
6.51,274.30
8.26,343.02
8.67,336.31
9.08,311.17
11.82,198.88
12.08,227.37
12.56,244.13
12.82,292.74
13.77,274.30
14.11,255.87
14.96,101.68
15.43,126.82
15.96,177.09
16.29,197.21
16.56,205.59
17.97,282.68
17.64,257.54
18.59,242.46
21.77,262.57
21.77,249.16
22.39,229.05
26.27,168.72
25.80,145.25
26.21,138.55
27.16,96.65
27.44,78.21
28.11,101.68
