Soil,Species,Unit,Time (day),Fresh,Fluctuating,Salty
Peat,Ptot,umol/L,6,81.88,96.71,79.76
Peat,Ptot,umol/L,20,101.43,98.78,92.96
Peat,Ptot,umol/L,34,101.38,103.50,92.37
Peat,Ptot,umol/L,48,109.80,116.68,96.03
Peat,Ptot,umol/L,72,110.80,103.39,95.44
Peat,Ptot,umol/L,76,108.10,94.33,85.86
Peat,Ptot,umol/L,90,109.64,97.99,92.69
Peat,Ptot,umol/L,104,105.35,86.81,84.16
Peat,Ptot,umol/L,118,106.35,77.22,98.41
Peat,Ptot,umol/L,132,102.59,81.41,86.17
Peat,Ptot,umol/L,146,108.89,89.30,97.77
Peat,Ptot,umol/L,160,106.19,82.35,94.01
Peat,Ptot,umol/L,174,114.08,95.01,98.72
Peat,Ptot,umol/L,189,92.84,86.49,94.96
Peat,Ptot,umol/L,203,107.62,91.20,96.50
Peat,NH4,umol/L,5,343.77,335.75,419.79
Peat,HN4,umol/L,18,351.26,271.22,463.24
Peat,NH4,umol/L,33,346.69,326.63,390.67
Peat,HN4,umol/L,47,278.11,302.11,342.08
Peat,NH4,umol/L,60,217.54,205.56,301.56
Peat,HN4,umol/L,75,224.97,236.97,277.01
Peat,NH4,umol/L,89,220.40,204.41,284.44
Peat,HN4,umol/L,103,195.88,187.82,251.88
Peat,NH4,umol/L,117,175.29,203.29,235.27
Peat,HN4,umol/L,131,182.72,178.72,222.74
Peat,NH4,umol/L,145,154.18,154.17,198.17
Peat,HN4,umol/L,159,145.61,145.65,177.59
Peat,HN4,umol/L,173,149.10,145.00,177.08
Peat,NH4,umol/L,188,152.43,144.47,168.49
Peat,HN4,umol/L,201,155.90,147.92,179.94
Peat,Na,mmol/L,5,11.95,10.16,19.59
Peat,Na,mmol/L,18,12.26,9.66,24.62
Peat,Na,mmol/L,33,13.55,13.23,26.88
Peat,Na,mmol/L,46,11.43,11.43,27.04
Peat,Na,mmol/L,61,10.44,15.80,28.00
Peat,Na,mmol/L,74,11.40,17.74,32.05
Peat,Na,mmol/L,89,11.39,16.11,33.99
Peat,Na,mmol/L,103,11.22,23.41,35.93
Peat,Na,mmol/L,117,10.07,20.31,33.97
Peat,Na,mmol/L,131,11.52,17.70,34.12
Peat,Na,mmol/L,145,9.39,20.61,35.90
Peat,Na,mmol/L,159,9.71,27.11,32.63
Peat,Na,mmol/L,173,9.21,25.14,36.04
Peat,Na,mmol/L,187,7.90,27.73,38.63
Peat,Na,mmol/L,201,9.19,25.45,36.83
Peat,Ca,mmol/L,6,1.52,1.60,2.07
Peat,Ca,mmol/L,19,1.51,1.51,2.78
Peat,Ca,mmol/L,33,1.55,1.63,2.73
Peat,Ca,mmol/L,47,1.58,1.75,2.98
Peat,Ca,mmol/L,61,1.53,2.17,3.26
Peat,Ca,mmol/L,75,1.44,2.33,3.34
Peat,Ca,mmol/L,89,1.43,2.11,3.33
Peat,Ca,mmol/L,103,1.34,2.23,3.24
Peat,Ca,mmol/L,117,1.21,2.18,3.49
Peat,Ca,mmol/L,131,1.24,1.96,3.23
Peat,Ca,mmol/L,145,1.28,2.46,3.56
Peat,Ca,mmol/L,159,1.14,2.58,3.51
Peat,Ca,mmol/L,173,1.18,2.45,3.42
Peat,Ca,mmol/L,187,1.00,2.69,3.58
Peat,Ca,mmol/L,201,1.21,2.56,3.53
Peat,Cl,mmol/L,5,12.5,10.4,22.7
Peat,Cl,mmol/L,19,13.1,10.0,30.2
Peat,Cl,mmol/L,33,12.9,12.5,32.1
Peat,Cl,mmol/L,47,10.5,10.3,34.4
Peat,Cl,mmol/L,61,9.9,18.3,37.7
Peat,Cl,mmol/L,75,10.8,20.6,40.8
Peat,Cl,mmol/L,89,9.2,16.3,41.4
Peat,Cl,mmol/L,102,9.0,24.5,42.7
Peat,Cl,mmol/L,117,8.8,23.7,42.9
Peat,Cl,mmol/L,131,8.4,17.0,39.5
Peat,Cl,mmol/L,144,7.4,22.1,42.5
Peat,Cl,mmol/L,159,8.1,32.8,39.7
Peat,Cl,mmol/L,173,6.9,29.1,42.0
Peat,Cl,mmol/L,187,7.3,31.0,37.5
Peat,Cl,mmol/L,200,6.9,29.0,43.3
Peat,Stot,mmol/L,6,0.38,0.29,1.19
Peat,Stot,mmol/L,19,0.33,0.24,1.41
Peat,Stot,mmol/L,33,0.29,0.30,1.60
Peat,Stot,mmol/L,47,0.29,0.30,2.24
Peat,Stot,mmol/L,61,0.29,0.98,2.48
Peat,Stot,mmol/L,75,0.29,0.89,2.51
Peat,Stot,mmol/L,89,0.30,0.76,2.51
Peat,Stot,mmol/L,103,0.21,1.25,2.71
Peat,Stot,mmol/L,117,0.16,1.11,2.86
Peat,Stot,mmol/L,131,0.19,0.90,2.60
Peat,Stot,mmol/L,145,0.16,1.52,2.97
Peat,Stot,mmol/L,159,0.11,1.75,2.86
Peat,Stot,mmol/L,173,0.11,1.35,2.84
Peat,Stot,mmol/L,187,0.11,1.83,2.89
Peat,Stot,mmol/L,201,0.13,1.48,2.75
Peat,K,mmol/L,7,0.492,0.488,0.58
Peat,K,mmol/L,20,0.492,0.424,0.672
Peat,K,mmol/L,35,0.46,0.436,0.688
Peat,K,mmol/L,48,0.468,0.448,0.792
Peat,K,mmol/L,62,0.44,0.524,0.84
Peat,K,mmol/L,76,0.38,0.472,0.772
Peat,K,mmol/L,90,0.324,0.42,0.728
Peat,K,mmol/L,104,0.324,0.496,0.768
Peat,K,mmol/L,118,0.276,0.436,0.8
Peat,K,mmol/L,132,0.288,0.424,0.74
Peat,K,mmol/L,146,0.264,0.516,0.784
Peat,K,mmol/L,160,0.268,0.584,0.816
Peat,K,mmol/L,174,0.252,0.54,0.812
Peat,K,mmol/L,188,0.216,0.58,0.808
Peat,K,mmol/L,202,0.236,0.56,0.828
Peat,Mg,mmol/L,5,1.81,1.66,2.41
Peat,Mg,mmol/L,18,1.83,1.44,2.99
Peat,Mg,mmol/L,32,1.78,1.56,3.35
Peat,Mg,mmol/L,46,1.83,1.63,3.83
Peat,Mg,mmol/L,60,1.66,2.21,4.02
Peat,Mg,mmol/L,74,1.56,2.23,3.92
Peat,Mg,mmol/L,88,1.48,2.04,4.04
Peat,Mg,mmol/L,102,1.31,2.37,3.89
Peat,Mg,mmol/L,116,1.21,2.15,4.25
Peat,Mg,mmol/L,130,1.24,1.94,3.84
Peat,Mg,mmol/L,144,1.16,2.54,4.15
Peat,Mg,mmol/L,158,1.14,2.85,4.15
Peat,Mg,mmol/L,172,1.11,2.77,4.27
Peat,Mg,mmol/L,186,0.89,2.82,4.07
Peat,Mg,mmol/L,200,0.99,2.72,4.19
Peat,pH,,5.78,7.24,7.26,7.08
Peat,pH,,19.26,7.74,7.71,7.48
Peat,pH,,33.63,7.57,7.45,7.22
Peat,pH,,47.70,7.27,7.20,7.08
Peat,pH,,61.19,7.57,7.42,7.34
Peat,pH,,75.41,7.78,7.39,7.50
Peat,pH,,89.33,7.57,7.38,7.20
Peat,pH,,103.56,7.77,7.89,7.59
Peat,pH,,117.33,8.00,7.63,7.46
Peat,pH,,131.11,7.78,7.67,7.43
Peat,pH,,144.74,8.01,7.65,7.42
Peat,pH,,159.85,7.86,7.70,7.57
Peat,pH,,173.48,7.79,7.68,7.36
Peat,pH,,187.56,7.57,7.37,7.29
Peat,pH,,201.33,7.68,7.41,7.31
Clay,Ptot,umol/L,7,49.84178136,46.45806478,21.12090593
Clay,Ptot,umol/L,19,65.55622548,73.43943615,45.28337977
Clay,Ptot,umol/L,33,59.86472064,53.67250198,35.09064826
Clay,Ptot,umol/L,48,45.7303838,56.432492,29.40260856
Clay,Ptot,umol/L,61,67.07569268,63.1306222,33.85532316
Clay,Ptot,umol/L,75,59.13703966,29.85134517,10.70987013
Clay,Ptot,umol/L,89,65.83690244,52.88591348,23.60541672
Clay,Ptot,umol/L,103,52.26911722,35.37305778,13.97403911
Clay,Ptot,umol/L,116,66.84872552,44.89008552,15.60958876
Clay,Ptot,umol/L,131,56.09290754,42.58056468,15.55241382
