file,column_or_row_name,unit,definition,data_type
./data/cation_exchange/vanDijk_dataset.csv,Soil,,Soil name,text
./data/cation_exchange/vanDijk_dataset.csv,Species,,Ion species,text
./data/cation_exchange/vanDijk_dataset.csv,Unit,,Units,text
./data/cation_exchange/vanDijk_dataset.csv,Time (day),,,numeric
./data/cation_exchange/vanDijk_dataset.csv,Fresh,µmol/L,Value of species,numeric
./data/cation_exchange/vanDijk_dataset.csv,Fluctuating,µmol/L,Value of species,numeric
./data/cation_exchange/vanDijk_dataset.csv,Salty,µmol/L,Value of species,numeric
./data/MEND_incubation/Andisol_control.csv,time,,,numeric
./data/MEND_incubation/Andisol_control.csv,IC,,,numeric
./data/MEND_incubation/Gelisol_control.csv,time,,,numeric
./data/MEND_incubation/Gelisol_control.csv,IC,,,numeric
./data/MEND_incubation/Mollisol_control.csv,time,,,numeric
./data/MEND_incubation/Mollisol_control.csv,IC,,,numeric
./data/MEND_incubation/Ultisol_control.csv,time,,,numeric
./data/MEND_incubation/Ultisol_control.csv,IC,,,numeric
./data/Salinity_response/Dong_bg.csv,salinity,,,numeric
./data/Salinity_response/Dong_bg.csv,rate,,,numeric
./data/Salinity_response/Dong_growth.csv,salinity,,,numeric
./data/Salinity_response/Dong_growth.csv,rate,,,numeric
./data/Salinity_response/Dong_lap.csv,salinity,,,numeric
./data/Salinity_response/Dong_lap.csv,rate,,,numeric
./data/Salinity_response/Dong_nag.csv,salinity,,,numeric
./data/Salinity_response/Dong_nag.csv,rate,,,numeric
./data/Salinity_response/laura_closs.csv,salinity,,,numeric
./data/Salinity_response/laura_closs.csv,rate,,,numeric
./data/Salinity_response/Rath_data1_BacGrowth.csv,salinity,,,numeric
./data/Salinity_response/Rath_data1_BacGrowth.csv,rate,,,numeric
./data/Salinity_response/Rath_data2_FunGrowth.csv,salinity,,,numeric
./data/Salinity_response/Rath_data2_FunGrowth.csv,rate,,,numeric
./data/Salinity_response/Rath_data3_resp.csv,salinity,,,numeric
./data/Salinity_response/Rath_data3_resp.csv,rate,,,numeric
./data/Salinity_response/tripathi_acidp.csv,salinity,,,numeric
./data/Salinity_response/tripathi_acidp.csv,rate,,,numeric
./data/Salinity_response/tripathi_alkp.csv,salinity,,,numeric
./data/Salinity_response/tripathi_alkp.csv,rate,,,numeric
./data/Salinity_response/tripathi_dehy.csv,salinity,,,numeric
./data/Salinity_response/tripathi_dehy.csv,rate,,,numeric
./data/Salinity_response/tripathi_glucosidase.csv,salinity,,,numeric
./data/Salinity_response/tripathi_glucosidase.csv,rate,,,numeric
./data/Salinity_response/tripathi_mbc.csv,salinity,,,numeric
./data/Salinity_response/tripathi_mbc.csv,rate,,,numeric
./data/Salinity_response/tripathi_p.csv,salinity,,,numeric
./data/Salinity_response/tripathi_p.csv,rate,,,numeric
./data/Salinity_response/tripathi_urea.csv,salinity,,,numeric
./data/Salinity_response/tripathi_urea.csv,rate,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,time,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,pH,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,Na,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,K,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,Ca,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,Mg,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,PO4,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,Cl,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,NH4,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_fresh.csv,SO4,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,time,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,pH,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,Na,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,K,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,Ca,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,Mg,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,PO4,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,Cl,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,NH4,,,numeric
./Figure2_AquaMEND_salinity_buffer/clay_salt.csv,SO4,,,numeric
./Figure2_AquaMEND_salinity_buffer/peat_fresh.csv,time,,,numeric
./Figure2_AquaMEND_salinity_buffer/peat_fresh.csv,pH,,,numeric
./Figure2_AquaMEND_salinity_buffer/peat_fresh.csv,Na,,,numeric
./Figure2_AquaMEND_salinity_buffer/peat_fresh.csv,K,,,numeric
