File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
L2-create-time-series.R,Sample R code to create a time series from data,,,,,code_examples_L2
Level 2 processing.pdf,Detailed description of Level 2 processing steps,,,,,code_examples_L2
README.md,Minimal README about the folder,,,,,code_examples_L2
CRC_2022_L2_v2-1_metadata.txt,Metadata for all data files in CRC_2022 folder,,,,,CRC_2022
CRC_OW_2022_battery-voltage_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_battery-voltage_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-cable_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-cable_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-conductivity_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-conductivity_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-fdom_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-fdom_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-fdom-rfu_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-fdom-rfu_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-nlf-cond_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-nlf-cond_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-odo-local_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-odo-local_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-odo-mgl_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-odo-mgl_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-odo-sat_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-odo-sat_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-ph_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-ph_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-ph-mv_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-ph-mv_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-pressure_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-pressure_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-salinity_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-salinity_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-spcond_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
CRC_OW_2022_sonde-spcond_L2_v2-1.pdf,Plots of Jan 2022 sensor data for CRC-OW,,2022-01-01,2022-12-31,,CRC_2022
CRC_OW_2022_sonde-temp_L2_v2-1.parquet,Year 2022 sensor data for OW plot at CRC site,,2022-01-01,2022-12-31,'NA',CRC_2022
