          pH	          Na	           K	          Ca	          Mg	         NO3	          Cl	         SO4	        HCO3	
  7.0000e+00	  1.0135e-02	  1.3009e-03	  4.9035e-04	  5.5040e-04	  4.9236e-03	  1.7313e-03	  1.7012e-03	  4.4732e-03	
  6.8581e+00	  1.0135e-02	  1.5009e-03	  4.9409e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  1.7828e-03	  4.4733e-03	
  6.8579e+00	  1.0135e-02	  1.7009e-03	  4.9603e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  1.8824e-03	  4.4733e-03	
  6.8576e+00	  1.0135e-02	  1.9009e-03	  4.9792e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  1.9820e-03	  4.4733e-03	
  6.8574e+00	  1.0135e-02	  2.1009e-03	  4.9976e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  2.0817e-03	  4.4733e-03	
  6.8572e+00	  1.0135e-02	  2.3009e-03	  5.0156e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  2.1814e-03	  4.4733e-03	
  6.8569e+00	  1.0135e-02	  2.5010e-03	  5.0332e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  2.2811e-03	  4.4733e-03	
  6.8567e+00	  1.0135e-02	  2.7010e-03	  5.0504e-04	  5.4996e-04	  4.9236e-03	  1.7313e-03	  2.3808e-03	  4.4733e-03	
  6.8564e+00	  1.0135e-02	  2.9010e-03	  5.0671e-04	  5.4996e-04	  4.9236e-03	  1.7313e-03	  2.4805e-03	  4.4733e-03	
  6.8561e+00	  1.0135e-02	  3.1010e-03	  5.0835e-04	  5.4996e-04	  4.9236e-03	  1.7313e-03	  2.5802e-03	  4.4733e-03	
  6.8559e+00	  1.0135e-02	  3.3010e-03	  5.0995e-04	  5.4996e-04	  4.9236e-03	  1.7313e-03	  2.6800e-03	  4.4733e-03	
  6.8556e+00	  1.0135e-02	  3.5010e-03	  5.1151e-04	  5.4997e-04	  4.9236e-03	  1.7313e-03	  2.7797e-03	  4.4733e-03	
  6.8553e+00	  1.0135e-02	  3.7010e-03	  5.1304e-04	  5.4997e-04	  4.9236e-03	  1.7313e-03	  2.8795e-03	  4.4733e-03	
