          pH	          Na	           K	          Ca	          Mg	         NO3	          Cl	         SO4	        HCO3	          sc	
  7.0000e+00	  1.0150e-02	  1.3009e-03	  4.9035e-04	  5.5040e-04	  4.9236e-03	  1.7313e-03	  1.7012e-03	  4.4732e-03	  3.0247e+03	
  6.8595e+00	  1.0150e-02	  3.3010e-03	  4.9880e-04	  5.4995e-04	  4.9236e-03	  1.7313e-03	  2.6801e-03	  4.4733e-03	  3.5075e+03	
  6.8568e+00	  1.0150e-02	  5.3010e-03	  5.0484e-04	  5.4998e-04	  4.9236e-03	  1.7313e-03	  3.6780e-03	  4.4733e-03	  4.0042e+03	
  6.8541e+00	  1.0150e-02	  7.3010e-03	  5.0953e-04	  5.5002e-04	  4.9236e-03	  1.7313e-03	  4.6763e-03	  4.4733e-03	  4.4943e+03	
  6.8515e+00	  1.0150e-02	  9.3010e-03	  5.1326e-04	  5.5005e-04	  4.9236e-03	  1.7313e-03	  5.6750e-03	  4.4733e-03	  4.9781e+03	
  6.8491e+00	  1.0150e-02	  1.1301e-02	  5.1628e-04	  5.5008e-04	  4.9236e-03	  1.7313e-03	  6.6739e-03	  4.4733e-03	  5.4558e+03	
  6.8467e+00	  1.0150e-02	  1.3301e-02	  5.1878e-04	  5.5011e-04	  4.9236e-03	  1.7313e-03	  7.6730e-03	  4.4733e-03	  5.9276e+03	
  6.8445e+00	  1.0150e-02	  1.5301e-02	  5.2087e-04	  5.5014e-04	  4.9236e-03	  1.7313e-03	  8.6722e-03	  4.4733e-03	  6.3939e+03	
  6.8424e+00	  1.0150e-02	  1.7301e-02	  5.2265e-04	  5.5016e-04	  4.9236e-03	  1.7313e-03	  9.6715e-03	  4.4733e-03	  6.8549e+03	
  6.8404e+00	  1.0150e-02	  1.9301e-02	  5.2418e-04	  5.5018e-04	  4.9236e-03	  1.7313e-03	  1.0671e-02	  4.4733e-03	  7.3109e+03	
  6.8385e+00	  1.0150e-02	  2.1301e-02	  5.2551e-04	  5.5021e-04	  4.9236e-03	  1.7313e-03	  1.1670e-02	  4.4733e-03	  7.7621e+03	
  6.8366e+00	  1.0150e-02	  2.3301e-02	  5.2667e-04	  5.5022e-04	  4.9236e-03	  1.7313e-03	  1.2670e-02	  4.4733e-03	  8.2088e+03	
  6.8349e+00	  1.0150e-02	  2.5301e-02	  5.2770e-04	  5.5024e-04	  4.9236e-03	  1.7313e-03	  1.3669e-02	  4.4733e-03	  8.6511e+03	
  6.8332e+00	  1.0150e-02	  2.7301e-02	  5.2861e-04	  5.5026e-04	  4.9236e-03	  1.7313e-03	  1.4669e-02	  4.4733e-03	  9.0893e+03	
  6.8316e+00	  1.0150e-02	  2.9301e-02	  5.2943e-04	  5.5027e-04	  4.9236e-03	  1.7313e-03	  1.5668e-02	  4.4733e-03	  9.5234e+03	
  6.8300e+00	  1.0150e-02	  3.1301e-02	  5.3017e-04	  5.5029e-04	  4.9236e-03	  1.7313e-03	  1.6668e-02	  4.4733e-03	  9.9538e+03	
  6.8285e+00	  1.0150e-02	  3.3301e-02	  5.3083e-04	  5.5030e-04	  4.9236e-03	  1.7313e-03	  1.7668e-02	  4.4733e-03	  1.0380e+04	
  6.8271e+00	  1.0150e-02	  3.5301e-02	  5.3144e-04	  5.5031e-04	  4.9236e-03	  1.7313e-03	  1.8667e-02	  4.4733e-03	  1.0804e+04	
  6.8257e+00	  1.0150e-02	  3.7301e-02	  5.3199e-04	  5.5033e-04	  4.9236e-03	  1.7313e-03	  1.9667e-02	  4.4733e-03	  1.1223e+04	
  6.8243e+00	  1.0150e-02	  3.9301e-02	  5.3250e-04	  5.5034e-04	  4.9236e-03	  1.7313e-03	  2.0667e-02	  4.4733e-03	  1.1640e+04	
  6.8230e+00	  1.0150e-02	  4.1301e-02	  5.3297e-04	  5.5035e-04	  4.9236e-03	  1.7313e-03	  2.1666e-02	  4.4733e-03	  1.2053e+04	
  6.8217e+00	  1.0150e-02	  4.3301e-02	  5.3340e-04	  5.5036e-04	  4.9236e-03	  1.7313e-03	  2.2666e-02	  4.4733e-03	  1.2463e+04	
