          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.0943e+00	  1.3751e-02	  1.4993e-04	  1.7429e-03	  2.0698e-03	  8.0567e-05	  1.4756e-02	  6.2711e-04	  3.4952e-04	  1.9901e-04	  3.4027e+03	
  7.0754e+00	  1.5549e-02	  3.0219e-04	  1.9602e-03	  2.3229e-03	  7.9399e-05	  1.6997e-02	  8.7376e-04	  3.5382e-04	  3.9259e-04	  3.8936e+03	
  7.0587e+00	  1.7357e-02	  4.5733e-04	  2.1745e-03	  2.5721e-03	  7.8414e-05	  1.9238e-02	  1.1204e-03	  3.5753e-04	  5.8614e-04	  4.3789e+03	
  7.0440e+00	  1.9176e-02	  6.1482e-04	  2.3859e-03	  2.8179e-03	  7.7571e-05	  2.1479e-02	  1.3671e-03	  3.6078e-04	  7.7966e-04	  4.8594e+03	
  7.0307e+00	  2.1002e-02	  7.7429e-04	  2.5949e-03	  3.0608e-03	  7.6842e-05	  2.3720e-02	  1.6137e-03	  3.6366e-04	  9.7315e-04	  5.3354e+03	
  7.0187e+00	  2.2837e-02	  9.3543e-04	  2.8015e-03	  3.3010e-03	  7.6205e-05	  2.5961e-02	  1.8604e-03	  3.6625e-04	  1.1666e-03	  5.8074e+03	
  7.0077e+00	  2.4679e-02	  1.0980e-03	  3.0061e-03	  3.5388e-03	  7.5645e-05	  2.8202e-02	  2.1071e-03	  3.6858e-04	  1.3601e-03	  6.2755e+03	
  6.9976e+00	  2.6528e-02	  1.2619e-03	  3.2087e-03	  3.7744e-03	  7.5151e-05	  3.0443e-02	  2.3537e-03	  3.7072e-04	  1.5535e-03	  6.7402e+03	
  6.9883e+00	  2.8383e-02	  1.4269e-03	  3.4096e-03	  4.0081e-03	  7.4713e-05	  3.2685e-02	  2.6004e-03	  3.7267e-04	  1.7470e-03	  7.2017e+03	
  6.9797e+00	  3.0244e-02	  1.5929e-03	  3.6088e-03	  4.2399e-03	  7.4323e-05	  3.4926e-02	  2.8471e-03	  3.7448e-04	  1.9404e-03	  7.6600e+03	
  6.9718e+00	  3.2110e-02	  1.7598e-03	  3.8065e-03	  4.4701e-03	  7.3976e-05	  3.7167e-02	  3.0938e-03	  3.7615e-04	  2.1339e-03	  8.1155e+03	
  6.9643e+00	  3.3981e-02	  1.9276e-03	  4.0028e-03	  4.6988e-03	  7.3665e-05	  3.9409e-02	  3.3405e-03	  3.7770e-04	  2.3273e-03	  8.5683e+03	
  6.9573e+00	  3.5856e-02	  2.0961e-03	  4.1977e-03	  4.9260e-03	  7.3388e-05	  4.1651e-02	  3.5872e-03	  3.7916e-04	  2.5207e-03	  9.0184e+03	
  6.9508e+00	  3.7736e-02	  2.2653e-03	  4.3914e-03	  5.1519e-03	  7.3139e-05	  4.3892e-02	  3.8339e-03	  3.8053e-04	  2.7141e-03	  9.4661e+03	
  6.9447e+00	  3.9621e-02	  2.4351e-03	  4.5839e-03	  5.3766e-03	  7.2917e-05	  4.6134e-02	  4.0806e-03	  3.8181e-04	  2.9075e-03	  9.9114e+03	
