          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.0896e+00	  1.3639e-02	  6.6645e-05	  1.7850e-03	  2.1213e-03	  8.0188e-05	  1.4756e-02	  6.2711e-04	  3.5628e-04	  1.9900e-04	  3.3987e+03	
  7.0671e+00	  1.5322e-02	  1.3709e-04	  2.0452e-03	  2.4266e-03	  7.8762e-05	  1.6997e-02	  8.7375e-04	  3.6639e-04	  3.9255e-04	  3.8851e+03	
  7.0478e+00	  1.7013e-02	  2.1179e-04	  2.3026e-03	  2.7283e-03	  7.7597e-05	  1.9238e-02	  1.1204e-03	  3.7519e-04	  5.8606e-04	  4.3655e+03	
  7.0309e+00	  1.8714e-02	  2.9013e-04	  2.5571e-03	  3.0266e-03	  7.6629e-05	  2.1479e-02	  1.3670e-03	  3.8296e-04	  7.7953e-04	  4.8408e+03	
  7.0159e+00	  2.0423e-02	  3.7164e-04	  2.8089e-03	  3.3215e-03	  7.5811e-05	  2.3720e-02	  1.6137e-03	  3.8991e-04	  9.7296e-04	  5.3113e+03	
  7.0025e+00	  2.2141e-02	  4.5598e-04	  3.0580e-03	  3.6133e-03	  7.5114e-05	  2.5961e-02	  1.8603e-03	  3.9619e-04	  1.1664e-03	  5.7776e+03	
  6.9904e+00	  2.3868e-02	  5.4286e-04	  3.3046e-03	  3.9022e-03	  7.4513e-05	  2.8202e-02	  2.1070e-03	  4.0192e-04	  1.3598e-03	  6.2401e+03	
  6.9794e+00	  2.5602e-02	  6.3205e-04	  3.5489e-03	  4.1884e-03	  7.3992e-05	  3.0443e-02	  2.3536e-03	  4.0717e-04	  1.5531e-03	  6.6989e+03	
  6.9694e+00	  2.7345e-02	  7.2337e-04	  3.7908e-03	  4.4719e-03	  7.3537e-05	  3.2685e-02	  2.6003e-03	  4.1203e-04	  1.7465e-03	  7.1544e+03	
  6.9602e+00	  2.9094e-02	  8.1665e-04	  4.0305e-03	  4.7530e-03	  7.3140e-05	  3.4926e-02	  2.8470e-03	  4.1654e-04	  1.9399e-03	  7.6068e+03	
  6.9517e+00	  3.0851e-02	  9.1178e-04	  4.2682e-03	  5.0318e-03	  7.2791e-05	  3.7167e-02	  3.0937e-03	  4.2075e-04	  2.1332e-03	  8.0562e+03	
  6.9438e+00	  3.2614e-02	  1.0086e-03	  4.5038e-03	  5.3084e-03	  7.2484e-05	  3.9409e-02	  3.3404e-03	  4.2470e-04	  2.3266e-03	  8.5029e+03	
  6.9364e+00	  3.4384e-02	  1.1071e-03	  4.7375e-03	  5.5829e-03	  7.2214e-05	  4.1651e-02	  3.5870e-03	  4.2841e-04	  2.5199e-03	  8.9470e+03	
  6.9296e+00	  3.6160e-02	  1.2071e-03	  4.9694e-03	  5.8554e-03	  7.1976e-05	  4.3892e-02	  3.8337e-03	  4.3191e-04	  2.7132e-03	  9.3887e+03	
  6.9232e+00	  3.7941e-02	  1.3086e-03	  5.1996e-03	  6.1261e-03	  7.1766e-05	  4.6134e-02	  4.0805e-03	  4.3522e-04	  2.9066e-03	  9.8279e+03	
