          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.0872e+00	  1.3562e-02	  4.3318e-05	  1.8064e-03	  2.1475e-03	  7.9998e-05	  1.4756e-02	  6.2711e-04	  3.6058e-04	  1.9899e-04	  3.3974e+03	
  7.0629e+00	  1.5162e-02	  8.9438e-05	  2.0898e-03	  2.4811e-03	  7.8439e-05	  1.6997e-02	  8.7374e-04	  3.7453e-04	  3.9253e-04	  3.8820e+03	
  7.0421e+00	  1.6766e-02	  1.3903e-04	  2.3716e-03	  2.8124e-03	  7.7180e-05	  1.9238e-02	  1.1204e-03	  3.8679e-04	  5.8602e-04	  4.3605e+03	
  7.0240e+00	  1.8377e-02	  1.9161e-04	  2.6513e-03	  3.1413e-03	  7.6142e-05	  2.1479e-02	  1.3670e-03	  3.9772e-04	  7.7946e-04	  4.8334e+03	
  7.0080e+00	  1.9994e-02	  2.4684e-04	  2.9289e-03	  3.4676e-03	  7.5273e-05	  2.3720e-02	  1.6137e-03	  4.0757e-04	  9.7286e-04	  5.3015e+03	
  6.9938e+00	  2.1619e-02	  3.0445e-04	  3.2044e-03	  3.7914e-03	  7.4538e-05	  2.5961e-02	  1.8603e-03	  4.1654e-04	  1.1662e-03	  5.7651e+03	
  6.9810e+00	  2.3252e-02	  3.6420e-04	  3.4776e-03	  4.1126e-03	  7.3911e-05	  2.8202e-02	  2.1069e-03	  4.2477e-04	  1.3596e-03	  6.2246e+03	
  6.9694e+00	  2.4892e-02	  4.2592e-04	  3.7485e-03	  4.4312e-03	  7.3370e-05	  3.0443e-02	  2.3536e-03	  4.3237e-04	  1.5529e-03	  6.6805e+03	
  6.9589e+00	  2.6540e-02	  4.8947e-04	  4.0173e-03	  4.7475e-03	  7.2903e-05	  3.2685e-02	  2.6003e-03	  4.3943e-04	  1.7463e-03	  7.1329e+03	
  6.9492e+00	  2.8195e-02	  5.5471e-04	  4.2840e-03	  5.0613e-03	  7.2496e-05	  3.4926e-02	  2.8469e-03	  4.4602e-04	  1.9396e-03	  7.5821e+03	
  6.9403e+00	  2.9857e-02	  6.2155e-04	  4.5486e-03	  5.3729e-03	  7.2142e-05	  3.7167e-02	  3.0936e-03	  4.5220e-04	  2.1329e-03	  8.0283e+03	
  6.9320e+00	  3.1527e-02	  6.8990e-04	  4.8112e-03	  5.6823e-03	  7.1833e-05	  3.9409e-02	  3.3403e-03	  4.5802e-04	  2.3262e-03	  8.4717e+03	
  6.9244e+00	  3.3203e-02	  7.5967e-04	  5.0718e-03	  5.9895e-03	  7.1562e-05	  4.1650e-02	  3.5869e-03	  4.6351e-04	  2.5194e-03	  8.9124e+03	
  6.9173e+00	  3.4887e-02	  8.3079e-04	  5.3304e-03	  6.2947e-03	  7.1326e-05	  4.3892e-02	  3.8336e-03	  4.6872e-04	  2.7127e-03	  9.3505e+03	
  6.9107e+00	  3.6576e-02	  9.0321e-04	  5.5873e-03	  6.5979e-03	  7.1119e-05	  4.6134e-02	  4.0803e-03	  4.7367e-04	  2.9060e-03	  9.7863e+03	
