          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1150e+00	  1.2421e-02	  6.2269e-06	  1.6199e-03	  1.9334e-03	  8.2461e-05	  1.2840e-02	  4.4536e-04	  3.4694e-04	  3.2819e-04	  3.0466e+03	
  7.1143e+00	  1.2876e-02	  1.1217e-05	  1.7180e-03	  2.0551e-03	  8.2995e-05	  1.3165e-02	  5.1026e-04	  3.4926e-04	  6.5094e-04	  3.1868e+03	
  7.1142e+00	  1.3329e-02	  1.6266e-05	  1.8162e-03	  2.1776e-03	  8.3574e-05	  1.3490e-02	  5.7516e-04	  3.5144e-04	  9.7363e-04	  3.3262e+03	
  7.1145e+00	  1.3782e-02	  2.1368e-05	  1.9144e-03	  2.3007e-03	  8.4192e-05	  1.3815e-02	  6.4005e-04	  3.5347e-04	  1.2963e-03	  3.4650e+03	
  7.1152e+00	  1.4234e-02	  2.6518e-05	  2.0127e-03	  2.4244e-03	  8.4843e-05	  1.4140e-02	  7.0495e-04	  3.5537e-04	  1.6189e-03	  3.6031e+03	
  7.1162e+00	  1.4686e-02	  3.1712e-05	  2.1110e-03	  2.5487e-03	  8.5524e-05	  1.4465e-02	  7.6985e-04	  3.5716e-04	  1.9414e-03	  3.7406e+03	
  7.1175e+00	  1.5137e-02	  3.6946e-05	  2.2093e-03	  2.6736e-03	  8.6229e-05	  1.4790e-02	  8.3475e-04	  3.5885e-04	  2.2639e-03	  3.8775e+03	
  7.1190e+00	  1.5587e-02	  4.2216e-05	  2.3077e-03	  2.7991e-03	  8.6957e-05	  1.5115e-02	  8.9965e-04	  3.6045e-04	  2.5864e-03	  4.0139e+03	
  7.1208e+00	  1.6038e-02	  4.7522e-05	  2.4060e-03	  2.9251e-03	  8.7704e-05	  1.5439e-02	  9.6455e-04	  3.6197e-04	  2.9088e-03	  4.1497e+03	
  7.1228e+00	  1.6488e-02	  5.2858e-05	  2.5043e-03	  3.0517e-03	  8.8468e-05	  1.5764e-02	  1.0295e-03	  3.6340e-04	  3.2312e-03	  4.2850e+03	
  7.1250e+00	  1.6938e-02	  5.8225e-05	  2.6025e-03	  3.1789e-03	  8.9246e-05	  1.6089e-02	  1.0944e-03	  3.6477e-04	  3.5535e-03	  4.4198e+03	
  7.1273e+00	  1.7388e-02	  6.3619e-05	  2.7007e-03	  3.3065e-03	  9.0037e-05	  1.6414e-02	  1.1593e-03	  3.6608e-04	  3.8758e-03	  4.5542e+03	
  7.1298e+00	  1.7837e-02	  6.9038e-05	  2.7989e-03	  3.4347e-03	  9.0840e-05	  1.6739e-02	  1.2242e-03	  3.6732e-04	  4.1981e-03	  4.6881e+03	
  7.1324e+00	  1.8287e-02	  7.4482e-05	  2.8970e-03	  3.5634e-03	  9.1652e-05	  1.7064e-02	  1.2891e-03	  3.6851e-04	  4.5204e-03	  4.8216e+03	
  7.1352e+00	  1.8737e-02	  7.9948e-05	  2.9950e-03	  3.6926e-03	  9.2472e-05	  1.7389e-02	  1.3540e-03	  3.6965e-04	  4.8426e-03	  4.9546e+03	
