          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1143e+00	  1.2397e-02	  2.6799e-06	  1.6254e-03	  1.9396e-03	  8.2405e-05	  1.2840e-02	  4.4536e-04	  3.5054e-04	  3.2819e-04	  3.0464e+03	
  7.1131e+00	  1.2826e-02	  4.1131e-06	  1.7294e-03	  2.0682e-03	  8.2886e-05	  1.3165e-02	  5.1026e-04	  3.5633e-04	  6.5093e-04	  3.1864e+03	
  7.1123e+00	  1.3253e-02	  5.5976e-06	  1.8339e-03	  2.1978e-03	  8.3416e-05	  1.3490e-02	  5.7515e-04	  3.6183e-04	  9.7361e-04	  3.3256e+03	
  7.1120e+00	  1.3677e-02	  7.1306e-06	  1.9388e-03	  2.3286e-03	  8.3988e-05	  1.3815e-02	  6.4005e-04	  3.6708e-04	  1.2962e-03	  3.4641e+03	
  7.1121e+00	  1.4099e-02	  8.7092e-06	  2.0441e-03	  2.4604e-03	  8.4597e-05	  1.4140e-02	  7.0495e-04	  3.7208e-04	  1.6188e-03	  3.6019e+03	
  7.1126e+00	  1.4519e-02	  1.0331e-05	  2.1497e-03	  2.5931e-03	  8.5238e-05	  1.4465e-02	  7.6984e-04	  3.7686e-04	  1.9413e-03	  3.7390e+03	
  7.1134e+00	  1.4938e-02	  1.1994e-05	  2.2555e-03	  2.7267e-03	  8.5906e-05	  1.4790e-02	  8.3474e-04	  3.8143e-04	  2.2638e-03	  3.8755e+03	
  7.1145e+00	  1.5355e-02	  1.3695e-05	  2.3617e-03	  2.8612e-03	  8.6599e-05	  1.5115e-02	  8.9964e-04	  3.8582e-04	  2.5862e-03	  4.0113e+03	
  7.1159e+00	  1.5771e-02	  1.5434e-05	  2.4680e-03	  2.9965e-03	  8.7314e-05	  1.5439e-02	  9.6454e-04	  3.9004e-04	  2.9086e-03	  4.1466e+03	
  7.1174e+00	  1.6185e-02	  1.7208e-05	  2.5744e-03	  3.1326e-03	  8.8047e-05	  1.5764e-02	  1.0294e-03	  3.9409e-04	  3.2310e-03	  4.2814e+03	
  7.1192e+00	  1.6599e-02	  1.9016e-05	  2.6811e-03	  3.2695e-03	  8.8796e-05	  1.6089e-02	  1.0944e-03	  3.9799e-04	  3.5533e-03	  4.4156e+03	
  7.1212e+00	  1.7012e-02	  2.0856e-05	  2.7878e-03	  3.4071e-03	  8.9561e-05	  1.6414e-02	  1.1593e-03	  4.0176e-04	  3.8755e-03	  4.5493e+03	
  7.1233e+00	  1.7425e-02	  2.2727e-05	  2.8946e-03	  3.5453e-03	  9.0337e-05	  1.6739e-02	  1.2242e-03	  4.0539e-04	  4.1978e-03	  4.6826e+03	
  7.1255e+00	  1.7837e-02	  2.4628e-05	  3.0015e-03	  3.6843e-03	  9.1125e-05	  1.7064e-02	  1.2891e-03	  4.0890e-04	  4.5200e-03	  4.8154e+03	
  7.1279e+00	  1.8248e-02	  2.6558e-05	  3.1084e-03	  3.8239e-03	  9.1923e-05	  1.7389e-02	  1.3540e-03	  4.1229e-04	  4.8422e-03	  4.9477e+03	
