          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  5.3766e-06	  2.9056e+03	
  7.1140e+00	  1.2386e-02	  2.1166e-06	  1.6278e-03	  1.9422e-03	  8.2380e-05	  1.2840e-02	  4.4536e-04	  3.5207e-04	  3.2818e-04	  3.0464e+03	
  7.1125e+00	  1.2803e-02	  2.9671e-06	  1.7345e-03	  2.0736e-03	  8.2838e-05	  1.3165e-02	  5.1026e-04	  3.5938e-04	  6.5092e-04	  3.1864e+03	
  7.1115e+00	  1.3216e-02	  3.8512e-06	  1.8420e-03	  2.2065e-03	  8.3345e-05	  1.3490e-02	  5.7515e-04	  3.6638e-04	  9.7360e-04	  3.3255e+03	
  7.1109e+00	  1.3626e-02	  4.7672e-06	  1.9502e-03	  2.3407e-03	  8.3895e-05	  1.3815e-02	  6.4005e-04	  3.7311e-04	  1.2962e-03	  3.4639e+03	
  7.1108e+00	  1.4032e-02	  5.7134e-06	  2.0589e-03	  2.4762e-03	  8.4483e-05	  1.4140e-02	  7.0495e-04	  3.7957e-04	  1.6188e-03	  3.6015e+03	
  7.1110e+00	  1.4436e-02	  6.6885e-06	  2.1682e-03	  2.6128e-03	  8.5103e-05	  1.4465e-02	  7.6984e-04	  3.8579e-04	  1.9413e-03	  3.7385e+03	
  7.1115e+00	  1.4837e-02	  7.6911e-06	  2.2780e-03	  2.7506e-03	  8.5753e-05	  1.4790e-02	  8.3474e-04	  3.9179e-04	  2.2637e-03	  3.8748e+03	
  7.1124e+00	  1.5236e-02	  8.7200e-06	  2.3882e-03	  2.8895e-03	  8.6427e-05	  1.5115e-02	  8.9964e-04	  3.9757e-04	  2.5862e-03	  4.0104e+03	
  7.1135e+00	  1.5634e-02	  9.7741e-06	  2.4987e-03	  3.0294e-03	  8.7124e-05	  1.5439e-02	  9.6454e-04	  4.0316e-04	  2.9085e-03	  4.1455e+03	
  7.1148e+00	  1.6029e-02	  1.0852e-05	  2.6097e-03	  3.1703e-03	  8.7840e-05	  1.5764e-02	  1.0294e-03	  4.0857e-04	  3.2309e-03	  4.2800e+03	
  7.1164e+00	  1.6423e-02	  1.1954e-05	  2.7209e-03	  3.3121e-03	  8.8574e-05	  1.6089e-02	  1.0943e-03	  4.1381e-04	  3.5531e-03	  4.4140e+03	
  7.1181e+00	  1.6815e-02	  1.3078e-05	  2.8324e-03	  3.4548e-03	  8.9323e-05	  1.6414e-02	  1.1592e-03	  4.1888e-04	  3.8754e-03	  4.5474e+03	
  7.1200e+00	  1.7206e-02	  1.4224e-05	  2.9441e-03	  3.5983e-03	  9.0085e-05	  1.6739e-02	  1.2242e-03	  4.2380e-04	  4.1976e-03	  4.6804e+03	
  7.1221e+00	  1.7596e-02	  1.5390e-05	  3.0560e-03	  3.7427e-03	  9.0859e-05	  1.7064e-02	  1.2891e-03	  4.2858e-04	  4.5198e-03	  4.8128e+03	
  7.1243e+00	  1.7985e-02	  1.6576e-05	  3.1681e-03	  3.8879e-03	  9.1643e-05	  1.7389e-02	  1.3540e-03	  4.3323e-04	  4.8419e-03	  4.9448e+03	
