          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.0942e+00	  1.4416e-02	  3.9886e-04	  1.8001e-03	  2.1364e-03	  8.0943e-05	  1.5763e-02	  7.0494e-04	  3.5066e-04	  1.6911e-04	  3.6130e+03	
  7.0768e+00	  1.6891e-02	  8.0779e-04	  2.0706e-03	  2.4514e-03	  8.0246e-05	  1.9011e-02	  1.0294e-03	  3.5571e-04	  3.3223e-04	  4.3097e+03	
  7.0625e+00	  1.9385e-02	  1.2253e-03	  2.3347e-03	  2.7590e-03	  7.9787e-05	  2.2259e-02	  1.3539e-03	  3.5993e-04	  4.9439e-04	  4.9973e+03	
  7.0508e+00	  2.1896e-02	  1.6495e-03	  2.5933e-03	  3.0605e-03	  7.9507e-05	  2.5506e-02	  1.6784e-03	  3.6354e-04	  6.5593e-04	  5.6768e+03	
  7.0410e+00	  2.4421e-02	  2.0793e-03	  2.8471e-03	  3.3568e-03	  7.9365e-05	  2.8755e-02	  2.0029e-03	  3.6669e-04	  8.1707e-04	  6.3492e+03	
  7.0327e+00	  2.6960e-02	  2.5136e-03	  3.0967e-03	  3.6486e-03	  7.9333e-05	  3.2003e-02	  2.3274e-03	  3.6947e-04	  9.7800e-04	  7.0151e+03	
  7.0258e+00	  2.9511e-02	  2.9519e-03	  3.3427e-03	  3.9365e-03	  7.9391e-05	  3.5251e-02	  2.6519e-03	  3.7195e-04	  1.1389e-03	  7.6750e+03	
  7.0199e+00	  3.2073e-02	  3.3936e-03	  3.5853e-03	  4.2210e-03	  7.9522e-05	  3.8500e-02	  2.9765e-03	  3.7419e-04	  1.2998e-03	  8.3296e+03	
  7.0150e+00	  3.4645e-02	  3.8382e-03	  3.8248e-03	  4.5024e-03	  7.9716e-05	  4.1749e-02	  3.3010e-03	  3.7623e-04	  1.4608e-03	  8.9790e+03	
  7.0108e+00	  3.7225e-02	  4.2855e-03	  4.0616e-03	  4.7810e-03	  7.9962e-05	  4.4997e-02	  3.6256e-03	  3.7810e-04	  1.6220e-03	  9.6237e+03	
  7.0073e+00	  3.9814e-02	  4.7352e-03	  4.2958e-03	  5.0571e-03	  8.0254e-05	  4.8246e-02	  3.9502e-03	  3.7982e-04	  1.7834e-03	  1.0264e+04	
  7.0044e+00	  4.2411e-02	  5.1871e-03	  4.5277e-03	  5.3310e-03	  8.0584e-05	  5.1495e-02	  4.2748e-03	  3.8141e-04	  1.9452e-03	  1.0900e+04	
  7.0020e+00	  4.5015e-02	  5.6409e-03	  4.7574e-03	  5.6029e-03	  8.0948e-05	  5.4745e-02	  4.5994e-03	  3.8289e-04	  2.1073e-03	  1.1532e+04	
  7.0000e+00	  4.7626e-02	  6.0965e-03	  4.9851e-03	  5.8729e-03	  8.1341e-05	  5.7994e-02	  4.9240e-03	  3.8428e-04	  2.2697e-03	  1.2160e+04	
  6.9985e+00	  5.0243e-02	  6.5538e-03	  5.2109e-03	  6.1411e-03	  8.1760e-05	  6.1244e-02	  5.2487e-03	  3.8557e-04	  2.4325e-03	  1.2785e+04	
