          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.0824e+00	  1.4183e-02	  1.1555e-04	  1.9124e-03	  2.2735e-03	  7.9997e-05	  1.5763e-02	  7.0492e-04	  3.6640e-04	  1.6844e-04	  3.6000e+03	
  7.0566e+00	  1.6407e-02	  2.4426e-04	  2.2988e-03	  2.7297e-03	  7.8715e-05	  1.9011e-02	  1.0294e-03	  3.8452e-04	  3.2993e-04	  4.2819e+03	
  7.0364e+00	  1.8644e-02	  3.8471e-04	  2.6803e-03	  3.1803e-03	  7.7882e-05	  2.2258e-02	  1.3538e-03	  3.9992e-04	  4.8988e-04	  4.9535e+03	
  7.0201e+00	  2.0894e-02	  5.3504e-04	  3.0565e-03	  3.6250e-03	  7.7354e-05	  2.5506e-02	  1.6783e-03	  4.1331e-04	  6.4883e-04	  5.6162e+03	
  7.0067e+00	  2.3159e-02	  6.9396e-04	  3.4274e-03	  4.0639e-03	  7.7047e-05	  2.8755e-02	  2.0028e-03	  4.2515e-04	  8.0715e-04	  6.2711e+03	
  6.9957e+00	  2.5440e-02	  8.6052e-04	  3.7930e-03	  4.4972e-03	  7.6905e-05	  3.2003e-02	  2.3272e-03	  4.3577e-04	  9.6511e-04	  6.9191e+03	
  6.9865e+00	  2.7736e-02	  1.0340e-03	  4.1537e-03	  4.9252e-03	  7.6890e-05	  3.5251e-02	  2.6517e-03	  4.4538e-04	  1.1229e-03	  7.5608e+03	
  6.9788e+00	  3.0047e-02	  1.2137e-03	  4.5094e-03	  5.3481e-03	  7.6975e-05	  3.8500e-02	  2.9762e-03	  4.5418e-04	  1.2807e-03	  8.1969e+03	
  6.9724e+00	  3.2372e-02	  1.3994e-03	  4.8604e-03	  5.7661e-03	  7.7140e-05	  4.1748e-02	  3.3007e-03	  4.6229e-04	  1.4386e-03	  8.8278e+03	
  6.9670e+00	  3.4710e-02	  1.5905e-03	  5.2070e-03	  6.1796e-03	  7.7372e-05	  4.4997e-02	  3.6253e-03	  4.6980e-04	  1.5967e-03	  9.4539e+03	
  6.9624e+00	  3.7062e-02	  1.7867e-03	  5.5492e-03	  6.5888e-03	  7.7657e-05	  4.8246e-02	  3.9498e-03	  4.7681e-04	  1.7551e-03	  1.0076e+04	
  6.9586e+00	  3.9427e-02	  1.9879e-03	  5.8873e-03	  6.9938e-03	  7.7989e-05	  5.1495e-02	  4.2744e-03	  4.8338e-04	  1.9138e-03	  1.0693e+04	
  6.9555e+00	  4.1804e-02	  2.1937e-03	  6.2214e-03	  7.3948e-03	  7.8359e-05	  5.4745e-02	  4.5989e-03	  4.8955e-04	  2.0729e-03	  1.1306e+04	
  6.9529e+00	  4.4193e-02	  2.4040e-03	  6.5516e-03	  7.7920e-03	  7.8762e-05	  5.7994e-02	  4.9235e-03	  4.9538e-04	  2.2324e-03	  1.1916e+04	
  6.9508e+00	  4.6593e-02	  2.6186e-03	  6.8782e-03	  8.1856e-03	  7.9193e-05	  6.1244e-02	  5.2481e-03	  5.0091e-04	  2.3923e-03	  1.2522e+04	
