          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.1162e+00	  1.1965e-02	  1.3016e-06	  1.5219e-03	  1.8122e-03	  8.1981e-05	  1.2515e-02	  3.8047e-04	  3.4443e-04	  4.5936e-06	  2.9056e+03	
  7.0785e+00	  1.4055e-02	  6.8380e-05	  1.9501e-03	  2.3192e-03	  7.9694e-05	  1.5763e-02	  7.0492e-04	  3.7372e-04	  1.6822e-04	  3.5974e+03	
  7.0498e+00	  1.6130e-02	  1.4557e-04	  2.3803e-03	  2.8285e-03	  7.8213e-05	  1.9011e-02	  1.0294e-03	  3.9845e-04	  3.2915e-04	  4.2757e+03	
  7.0273e+00	  1.8202e-02	  2.3108e-04	  2.8097e-03	  3.3373e-03	  7.7242e-05	  2.2258e-02	  1.3538e-03	  4.1987e-04	  4.8829e-04	  4.9429e+03	
  7.0091e+00	  2.0277e-02	  3.2367e-04	  3.2370e-03	  3.8439e-03	  7.6618e-05	  2.5506e-02	  1.6783e-03	  4.3876e-04	  6.4625e-04	  5.6006e+03	
  6.9943e+00	  2.2360e-02	  4.2245e-04	  3.6613e-03	  4.3475e-03	  7.6241e-05	  2.8755e-02	  2.0027e-03	  4.5568e-04	  8.0345e-04	  6.2500e+03	
  6.9820e+00	  2.4453e-02	  5.2676e-04	  4.0821e-03	  4.8477e-03	  7.6048e-05	  3.2003e-02	  2.3272e-03	  4.7102e-04	  9.6020e-04	  6.8920e+03	
  6.9717e+00	  2.6557e-02	  6.3607e-04	  4.4991e-03	  5.3441e-03	  7.5995e-05	  3.5251e-02	  2.6516e-03	  4.8505e-04	  1.1167e-03	  7.5274e+03	
  6.9630e+00	  2.8674e-02	  7.4999e-04	  4.9122e-03	  5.8368e-03	  7.6051e-05	  3.8500e-02	  2.9761e-03	  4.9799e-04	  1.2732e-03	  8.1567e+03	
  6.9557e+00	  3.0803e-02	  8.6819e-04	  5.3214e-03	  6.3256e-03	  7.6194e-05	  4.1748e-02	  3.3006e-03	  5.1002e-04	  1.4297e-03	  8.7806e+03	
  6.9496e+00	  3.2946e-02	  9.9041e-04	  5.7266e-03	  6.8106e-03	  7.6409e-05	  4.4997e-02	  3.6251e-03	  5.2125e-04	  1.5864e-03	  9.3994e+03	
  6.9444e+00	  3.5100e-02	  1.1164e-03	  6.1279e-03	  7.2919e-03	  7.6682e-05	  4.8246e-02	  3.9496e-03	  5.3179e-04	  1.7434e-03	  1.0014e+04	
  6.9400e+00	  3.7268e-02	  1.2460e-03	  6.5253e-03	  7.7695e-03	  7.7003e-05	  5.1495e-02	  4.2742e-03	  5.4174e-04	  1.9007e-03	  1.0623e+04	
  6.9363e+00	  3.9448e-02	  1.3790e-03	  6.9190e-03	  8.2436e-03	  7.7365e-05	  5.4745e-02	  4.5987e-03	  5.5115e-04	  2.0583e-03	  1.1229e+04	
  6.9332e+00	  4.1640e-02	  1.5154e-03	  7.3089e-03	  8.7141e-03	  7.7762e-05	  5.7994e-02	  4.9233e-03	  5.6008e-04	  2.2164e-03	  1.1830e+04	
  6.9306e+00	  4.3844e-02	  1.6549e-03	  7.6952e-03	  9.1812e-03	  7.8188e-05	  6.1243e-02	  5.2479e-03	  5.6860e-04	  2.3748e-03	  1.2428e+04	
